book,date
Pathfinder Society Scenario #1-03: Escaping the Grave,2019-08-01
Pathfinder #145: Hellknight Hill,2019-08-01
Pathfinder Adventure: The Fall of Plaguestone,2019-08-01
Pathfinder Society Quest #1: The Sandstone Secret,2019-08-01
Pathfinder Bestiary,2019-08-01
Pathfinder Society Scenario #1-01: The Absalom Initiation,2019-08-01
Pathfinder Society Scenario #1-02: The Mosquito Witch,2019-08-01
Pathfinder Society Scenario #1-00: Origin of the Open Road,2019-08-17
Pathfinder #146: Cult of Cinders,2019-09-01
Pathfinder #147: Tomorrow Must Burn,2019-09-18
Pathfinder Society Scenario #1-04: Bandits of Immenwood,2019-09-25
Pathfinder Society Scenario #1-05: Trailblazers' Bounty,2019-09-25
Pathfinder Society Quest #2: Unforgiving Fire,2019-09-25
Pathfinder #148: Fires of the Haunted City,2019-10-16
Pathfinder Lost Omens Character Guide,2019-10-16
The (Un)Usual Suspects!,2019-10-22
Pathfinder Society Scenario #1-06: Lost on the Spirit Road,2019-10-30
Pathfinder Society Scenario #1-07: Flooded King's Court,2019-10-30
Pathfinder Society Quest #3: Grehunde's Gorget,2019-10-30
Pathfinder #149: Against the Scarlet Triad,2019-11-13
Pathfinder Society Quest #4: Port Peril Pub Crawl,2019-11-27
Pathfinder Society Scenario #1-09: Star-Crossed Voyages,2019-11-27
Pathfinder Society Scenario #1-08: Revolution on the Riverside,2019-11-27
Pathfinder #150: Broken Promises,2019-12-12
Pathfinder Society Scenario #1-10: Tarnbreaker's Trail,2019-12-18
Pathfinder Society Scenario #1-11: Flames of Rebellion,2019-12-18
Pathfinder Society Quest #5: The Dragon who Stole Evoking Day,2019-12-18
Pathfinder Society Scenario #1-13: Devil at the Crossroads,2020-01-29
Pathfinder Society Quest #6: Archaeology In Aspenthar,2020-01-29
Pathfinder Society Scenario #1-12: The Burden of Envy,2020-01-29
Pathfinder #151: The Show Must Go On,2020-01-30
Monster Making,2020-02-20
Pathfinder Society Scenario #1-14: Lions of Katapesh,2020-02-26
Pathfinder Society Scenario #1-15: The Blooming Catastrophe,2020-02-26
Pathfinder #152: Legacy of the Lost God,2020-02-26
Pathfinder Society Quest #7: A Curious Claim,2020-02-26
Pathfinder Gamemastery Guide,2020-03-10
"Pathfinder Society Scenario #1-17: The Perennial Crown Part 2, The Thorned Monarch",2020-03-24
Pathfinder Society Quest #8: Shadows of the Black Sovereign,2020-03-25
"Pathfinder Society Scenario #1-16: The Perennial Crown Part 1, Opal of Bhopan",2020-03-25
Pathfinder #153: Life's Long Shadows,2020-03-26
Pathfinder Blog: April Fool's Bestiary,2020-04-01
Pathfinder Bounty #1: The Whitefang Wyrm,2020-04-26
Pathfinder Society Scenario #1-19: Iolite Squad Alpha,2020-04-27
Pathfinder Society Quest #9: Wayfinder Origins,2020-04-29
Pathfinder Society Scenario #1-18: Lodge of the Living God,2020-04-29
Pathfinder #154: Siege of the Dinosaurs,2020-04-29
Pathfinder #155: Lord of the Black Sands,2020-05-27
Pathfinder Society Quest #10: The Broken Scales,2020-05-28
Pathfinder Society Scenario #1-21: Mistress of the Maze,2020-05-28
Pathfinder Society Scenario #1-20: The Lost Legend,2020-05-28
Pathfinder Bestiary 2,2020-06-16
Pathfinder Society Scenario #1-22: Doom of Cassomir,2020-06-24
Pathfinder #156: The Apocalypse Prophet,2020-06-24
Pathfinder Society Quest #11: A Parchment Tree,2020-06-26
No-Prep Character: Pr’rall,2020-07-10
No-Prep Character: Duhgik,2020-07-17
Pathfinder Adventure: Little Trouble in Big Absalom,2020-07-25
Pathfinder Society Scenario #1-25: Grim Symphony,2020-07-29
Pathfinder #157: Devil at the Dreaming Palace,2020-07-30
"Pathfinder Society Scenario #1-24: Lightning Strikes, Stars Fall",2020-07-30
Pathfinder Society Quest #12: Putrid Seeds,2020-07-30
Pathfinder Adventure: The Slithering,2020-07-30
Pathfinder #158: Sixty Feet Under,2020-08-16
Pathfinder Society Scenario #2-01: Citadel of Corruption,2020-08-26
Pathfinder Society Scenario #2-02: Mountain of Sea and Sky,2020-08-26
Pathfinder #159: All or Nothing,2020-09-15
Pathfinder Society Scenario #2-04: Path of Kings,2020-09-30
Pathfinder Society Scenario #2-03: Catastrophe's Spark,2020-09-30
Pathfinder #160: Assault on Hunting Lodge Seven,2020-10-14
Pathfinder Society Scenario #2-06: The Crashing Wave,2020-10-28
Pathfinder Society Scenario #2-05: Balancing the Scales,2020-10-28
Pathfinder Bounty #3: Shadows and Scarecrows,2020-10-29
No-Prep Character: Morlibint,2020-11-11
Pathfinder Beginner Box,2020-11-11
Pathfinder #161: Belly of the Black Whale,2020-11-15
Pathfinder Society Scenario #2-07: The Blackros Deception,2020-11-18
Pathfinder Society Scenario #2-08: A Frosty Mug,2020-11-18
Pathfinder Encounter: We Be Zombies!,2020-11-25
Pathfinder Adventure: Troubles in Otari,2020-12-09
Pathfinder #162: Ruins of the Radiant Siege,2020-12-15
Pathfinder Bounty #5: Witch's Winter Holiday,2020-12-16
Pathfinder Society Scenario #2-09: The Seven Secrets of Dacilane Academy,2020-12-30
Pathfinder Society Scenario #2-10: In Burning Dawn,2020-12-30
A Caroling Horse (Of Course. Of Course.),2021-01-01
Pathfinder Encounter: Heaving Kobolds,2021-01-07
Pathfinder #163: Ruins of Gauntlight,2021-01-15
No-Prep Character: Eleukas,2021-01-20
Pathfinder #164: Hands of the Devil,2021-01-24
No-Prep Character: Lisavet,2021-01-27
Pathfinder Society Scenario #2-11: The Pathfinder Trials,2021-01-27
No-Prep Character: Urok,2021-02-12
No-Prep Character: Chea,2021-02-19
Pathfinder Society Scenario #2-14: Lost in Flames,2021-02-23
Pathfinder Society Scenario #2-13: A Gilded Test,2021-02-23
Pathfinder Society Scenario #2-12: Snakes in the Grass,2021-02-23
Pathfinder Encounter: Phinelli's Miracle Elixir,2021-02-26
Pathfinder One-Shot #1: Sundered Waves,2021-03-06
