,str,dex,con,int,wis,cha,ac,hp,perception,fortitude,reflex,will,focus,melee_max_bonus,avg_melee_dmg,ranged_max_bonus,avg_ranged_dmg,max_spell_lvl,spell_dc,spell_attack,book,level,name
4949,3,4,1,0,1,1,18,42,9,9,12,6,0,10,8.5,10,8.5,0,0,0,Pathfinder Society Scenario #6-99: Under the Eye of the Mantis,3,Dispatch Disciple Veteran
4957,3,1,3,0,1,0,13,9,1,6,4,2,0,7,4.5,0,0.0,0,0,0,Pathfinder Society Scenario #6-99: Under the Eye of the Mantis,-1,Tired Dockhand
4956,2,3,2,6,3,0,24,115,18,15,15,18,0,16,13.0,0,0.0,4,25,17,Pathfinder Society Scenario #6-99: Under the Eye of the Mantis,7,Sotroz
4955,3,5,2,1,0,3,18,28,10,5,11,5,0,11,6.0,0,0.0,0,0,0,Pathfinder Society Scenario #6-99: Under the Eye of the Mantis,2,Rowan the Whispering
4948,2,4,1,0,1,1,14,7,5,5,8,2,0,6,2.5,6,2.5,0,0,0,Pathfinder Society Scenario #6-99: Under the Eye of the Mantis,-1,Dispatch Disciple Trainee
4947,2,4,1,0,1,1,15,14,6,6,9,3,0,6,4.5,6,4.5,0,0,0,Pathfinder Society Scenario #6-99: Under the Eye of the Mantis,0,Dispatch Disciple Novice
4954,2,4,3,6,4,0,27,115,21,18,18,21,0,19,11.0,0,0.0,5,25,17,Pathfinder Society Scenario #6-99: Under the Eye of the Mantis,9,Invigorated Sotroz
4953,4,3,2,1,2,4,21,72,12,12,12,10,0,15,13.0,0,0.0,0,0,0,Pathfinder Society Scenario #6-99: Under the Eye of the Mantis,5,Ghoul Commando
4952,3,5,2,1,0,3,20,43,12,7,13,7,0,13,8.0,0,0.0,0,0,0,Pathfinder Society Scenario #6-99: Under the Eye of the Mantis,2,Enraged Rowan the Whispering
4951,3,5,2,1,0,3,22,72,15,9,15,9,0,15,11.0,0,0.0,0,0,0,Pathfinder Society Scenario #6-99: Under the Eye of the Mantis,5,Empowered Rowan the Whispering
4950,3,4,1,0,1,1,15,19,7,7,10,4,0,7,5.5,7,5.5,0,0,0,Pathfinder Society Scenario #6-99: Under the Eye of the Mantis,1,Dispatch Disciple
4946,4,5,2,0,2,1,21,72,12,12,15,9,0,13,8.5,13,11.0,0,0,0,Pathfinder Society Scenario #6-99: Under the Eye of the Mantis,5,Dispatch Disciple Captain
2507,4,8,4,5,6,5,36,252,28,22,28,24,0,30,22.5,0,0.0,0,0,0,Pathfinder Adventures: Dark Archive Web Supplement: In Darkness (Remastered),14,Kuchisake-Onna
2513,4,7,4,5,5,8,39,310,33,28,29,32,0,32,37.0,0,0.0,0,0,0,Pathfinder Adventures: Dark Archive Web Supplement: In Darkness (Remastered),15,The Weaver in Dreams
2511,7,2,6,-5,0,-5,33,215,20,26,20,18,0,26,29.5,24,30.0,0,0,0,Pathfinder Adventures: Dark Archive Web Supplement: In Darkness (Remastered),12,Spectral Fang Paleohemoth
2505,5,1,5,1,1,8,33,290,26,26,20,29,0,0,0.0,27,28.0,7,33,27,Pathfinder Adventures: Dark Archive Web Supplement: In Darkness (Remastered),13,Cocoon of Lucid Potential
2514,7,0,4,-2,4,3,24,120,16,18,10,16,0,20,19.0,0,0.0,0,0,0,Pathfinder Dark Archive (Remastered),8,Verdure's Moonflower
2512,8,7,7,5,4,4,34,320,24,28,25,25,0,29,27.5,0,0.0,0,0,0,Pathfinder Dark Archive (Remastered),14,The Morrowkin
2504,5,6,4,8,6,-1,33,220,23,22,22,26,0,24,27.5,27,21.5,7,33,25,Pathfinder Dark Archive (Remastered),13,Amalgamite
2510,0,0,0,0,0,0,24,30,0,11,17,0,0,17,15.0,0,0.0,0,0,0,Pathfinder Dark Archive (Remastered),6,Reflection
2509,-5,4,0,-2,2,3,20,40,10,8,14,12,0,15,10.0,0,0.0,0,0,0,Pathfinder Dark Archive (Remastered),4,Quartz-Spawned Shadow
2508,1,3,0,2,4,4,25,140,18,14,17,18,0,18,19.0,0,0.0,4,26,18,Pathfinder Dark Archive (Remastered),8,Mother Mitera
2506,4,5,4,5,5,8,36,280,30,23,24,28,0,29,30.0,0,0.0,0,0,0,Pathfinder Dark Archive (Remastered),14,K. H. W.'s Echo
5032,8,5,8,-2,0,4,34,10,26,32,26,20,0,28,45.0,25,30.5,0,0,0,Pathfinder Society Scenario #7-10: Shattered Blades,15,The Scourge of Woodsedge
5033,5,8,2,-2,4,2,35,180,23,20,26,23,0,25,26.5,0,0.0,0,0,0,Pathfinder Society Scenario #7-10: Shattered Blades,13,Torn Trio
5031,4,1,3,2,1,0,20,10,8,14,8,11,0,13,11.0,0,0.0,0,0,0,"Pathfinder Society Scenario #7-09: The Chitterwood Walks, Part 1: Scrambling the Tribes",4,Undead Hellknight
5038,2,4,0,-5,0,0,16,4,2,2,8,2,0,6,4.5,6,3.5,0,0,0,Pathfinder Society Quest #27: Within the Glacier,-1,Skeleton Guard
5039,2,4,1,-5,2,0,16,12,8,3,8,6,0,8,4.5,0,0.0,0,0,0,Pathfinder Society Quest #27: Within the Glacier,0,Skeleton Wolfguard
5034,1,1,1,5,4,3,16,26,7,4,7,10,1,9,4.5,0,0.0,1,20,12,Pathfinder Society Quest #27: Within the Glacier,1,"Kalagemmon, Decayed Cyclops"
5035,3,1,1,5,4,3,18,59,9,6,9,12,1,8,9.5,0,0.0,2,20,9,Pathfinder Society Quest #27: Within the Glacier,3,"Kalagemmon, Decayed Resentment Witch"
