metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
linear_regression_ridge,0.9017339114537309,1.1029346390588406,0.6041257729600625,0.729816990582065,1.2164648180358548,0.9585438873062916,,,0.8856476162140317,0.9815687699878527,0.5017951425554382,0.5782959915926107,0.9634772502154662,0.9430473104087137,0.5983104540654699,0.9224920802534319
kernel_svm,0.538018216749635,0.5790339210559898,0.34936664359392605,0.363594645725712,0.33528028173347424,0.9828654727559494,,,0.5758240961018661,0.6163203799897383,0.25174234424498415,0.27051656726388357,0.37985081079069544,0.9716904396828616,0.7738120380147835,0.9828933474128828
knn,0.06146553861258641,0.05482897579187932,0.005279831045406547,0.004451070832520109,0.0030062165863864888,0.999786671015866,,,0.07119436637536909,0.06283702216814592,0.004646251319957761,0.0037021555993251316,0.003948491354960062,0.9993603914582129,0.9955649419218585,0.9997888067581837
random_forest,0.21311293860456393,0.2501244237096451,0.12642273724046685,0.15043649669540124,0.06256222733608208,0.9989209621316929,,,0.20084299636010716,0.2547844271578281,0.03695881731784583,0.05868802948729984,0.06491510432214263,0.9965679103257661,0.9647307286166843,0.9983104540654699
lightgbm,0.05986024430057772,0.05410825971451122,0.009525514985289545,0.00841168971954116,0.002927703769332998,0.999863488370685,,,0.07119436637536909,0.06595087662018517,0.004646251319957761,0.004103182371335958,0.004349518126970888,0.9993434575831973,0.9955649419218585,0.9997888067581837
linear_ordinal_model_probit,0.8556909309890925,0.963079297120662,0.48511087645195355,0.5759943443092319,0.9275217325424283,0.9453912803598836,0.6099260823653643,0.9227032734952482,0.8556909309890925,0.963079297120662,0.48511087645195355,0.5759943443092319,0.9275217325424283,0.9453912803598836,0.6099260823653643,0.9227032734952482
linear_ordinal_model_logit,0.8453862610110423,0.9290582259372322,0.462935586061246,0.5324000400036724,0.8631491871816372,0.9457771645843992,0.6278775079197466,0.9305174234424498,0.8453862610110423,0.9290582259372322,0.462935586061246,0.5324000400036724,0.8631491871816372,0.9457771645843992,0.6278775079197466,0.9305174234424498
ordered_random_forest,0.6732166790400383,0.7338997299169429,0.275818373812038,0.3188441800284358,0.5386088135721616,0.9665126472395702,0.7763463569165787,0.9640971488912354,0.6732166790400383,0.7338997299169429,0.275818373812038,0.3188441800284358,0.5386088135721616,0.9665126472395702,0.7763463569165787,0.9640971488912354
logisticAT,0.8113503156721443,0.9090212397299471,0.45892291446673705,0.5397235880971653,0.82631961428017,0.9485224389926407,0.616050686378036,0.9400211193241816,0.8113503156721443,0.9090212397299471,0.45892291446673705,0.5397235880971653,0.82631961428017,0.9485224389926407,0.616050686378036,0.9400211193241816
logisticIT,0.8391175532757118,0.9309755798808204,0.46166842661034846,0.5387321937895649,0.8667155303344297,0.9465666237296756,0.6276663146779303,0.9298838437170011,0.8391175532757118,0.9309755798808204,0.46166842661034846,0.5387321937895649,0.8667155303344297,0.9465666237296756,0.6276663146779303,0.9298838437170011
simple_or,0.07689870461103576,0.06778606705057776,0.004646251319957761,0.0036873832464925215,0.004594950886185422,0.9993070355615159,0.995987328405491,0.9993664202745512,0.07689870461103576,0.06778606705057776,0.004646251319957761,0.0036873832464925215,0.004594950886185422,0.9993070355615159,0.995987328405491,0.9993664202745512
coral,0.6858041626622101,0.7852806336197065,0.35163674762407604,0.4286794365450292,0.6166656735381677,0.9618870504860306,0.6876451953537487,0.9706441393875396,0.6858041626622101,0.7852806336197065,0.35163674762407604,0.4286794365450292,0.6166656735381677,0.9618870504860306,0.6876451953537487,0.9706441393875396
corn,0.7150516334064065,0.8109382209081812,0.4111932418162619,0.4937807469540652,0.6576207981297261,0.9624305427316403,0.623442449841605,0.9729672650475185,0.7150516334064065,0.8109382209081812,0.4111932418162619,0.4937807469540652,0.6576207981297261,0.9624305427316403,0.623442449841605,0.9729672650475185
clm,0.7747329818988063,0.8768300356218033,0.43336853220696936,0.5263109941580596,0.7688309113685329,0.9525463628685341,0.629778247096093,0.9493136219640972,0.7747329818988063,0.8768300356218033,0.43336853220696936,0.5263109941580596,0.7688309113685329,0.9525463628685341,0.629778247096093,0.9493136219640972
nn_rank,0.7910534593196492,0.9080845900282138,0.46694825765575504,0.5774245079642898,0.8246176226467091,0.9622912876253674,0.5953537486800422,0.9474128827877508,0.7910534593196492,0.9080845900282138,0.46694825765575504,0.5774245079642898,0.8246176226467091,0.9622912876253674,0.5953537486800422,0.9474128827877508
condor,0.694677304617157,0.7838766391768143,0.37444561774023233,0.4519639182645349,0.6144625854471375,0.9635131755007886,0.665258711721225,0.968532206969377,0.694677304617157,0.7838766391768143,0.37444561774023233,0.4519639182645349,0.6144625854471375,0.9635131755007886,0.665258711721225,0.968532206969377
or_cnn,0.6981647385194503,0.8013770208542272,0.35691657866948256,0.4267785510185011,0.6422051295531965,0.9614671093061765,0.6868004223864836,0.9683210137275607,0.6981647385194503,0.8013770208542272,0.35691657866948256,0.4267785510185011,0.6422051295531965,0.9614671093061765,0.6868004223864836,0.9683210137275607
gpor,0.6196013668515261,0.6930316145697759,0.43624804444293164,0.47252722593027524,0.4802928187931904,0.9757267565063921,,,0.6743137620057978,0.7491262204388593,0.35712777191129885,0.4043192954560258,0.5611900941490106,0.9619694493974189,0.6753959873284054,0.976557550158395
