metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
linear_regression_ridge,0.680623585861259,0.8326125967208913,0.44071601801350846,0.5199878041413584,0.6932437362183056,0.9786823326138486,,,0.6735303136617761,0.7419469668626666,0.32819429778247095,0.37435203723483174,0.5504853016367109,0.9641045366891796,0.7089757127771912,0.9729672650475185
kernel_svm,0.3715610833196546,0.3658643252209502,0.24852999738709894,0.24151914406300704,0.1338567044693812,0.9929094365011851,,,0.3888629078999995,0.38001815388487364,0.13009503695881733,0.12403021471160432,0.1444137972820675,0.9846506248316073,0.8791974656810982,0.9917634635691658
knn,0.03356134616420201,0.034506713022800124,0.0023231256599788802,0.002398501834902364,0.0011907132436378839,0.9999983917548868,,,0.043597467545103546,0.04378179428803474,0.0019007391763463568,0.0019168455110797917,0.0019168455110797917,0.9997627365444753,0.9980992608236536,1.0
random_forest,0.15388808558307693,0.17668808331031555,0.08803434686280512,0.10172727408239232,0.031218678783873004,0.9996158186232513,,,0.13079240263531064,0.15594419860391395,0.016261879619852166,0.022341414246818177,0.02431859307821696,0.9983253438238847,0.9841605068637803,0.9995776135163674
lightgbm,0.12330173998497364,0.1162945195722844,0.08132467013348177,0.07724594636754822,0.01352441528254844,0.9999204391682232,,,0.08719493509020709,0.07842846511217622,0.007602956705385427,0.006151024139851841,0.006151024139851841,0.9989462210402357,0.9923970432946145,1.0
linear_ordinal_model_probit,0.6571835204220017,0.7377816826163779,0.30390707497360087,0.3580476843043628,0.5443218112042537,0.9657859096537089,0.7326293558606125,0.9736008447729673,0.6571835204220017,0.7377816826163779,0.30390707497360087,0.3580476843043628,0.5443218112042537,0.9657859096537089,0.7326293558606125,0.9736008447729673
linear_ordinal_model_logit,0.6516974829570102,0.7286411462746215,0.2946145723336853,0.3440225828965067,0.5309179200443944,0.96605183771331,0.7429778247096093,0.9725448785638859,0.6516974829570102,0.7286411462746215,0.2946145723336853,0.3440225828965067,0.5309179200443944,0.96605183771331,0.7429778247096093,0.9725448785638859
ordered_random_forest,0.44365763982237033,0.49045573445973223,0.16092925026399155,0.19026106339258667,0.2405468274644354,0.9818229515119774,0.853220696937698,0.9881731784582893,0.44365763982237033,0.49045573445973223,0.16092925026399155,0.19026106339258667,0.2405468274644354,0.9818229515119774,0.853220696937698,0.9881731784582893
logisticAT,0.6264160305217409,0.6981429789185292,0.29778247096092925,0.3514113729374168,0.4874036190132379,0.9674120346684669,0.7315733896515312,0.9786694825765575,0.6264160305217409,0.6981429789185292,0.29778247096092925,0.3514113729374168,0.4874036190132379,0.9674120346684669,0.7315733896515312,0.9786694825765575
logisticIT,0.6387686147495178,0.7028077777690004,0.2910242872228089,0.33491006934512496,0.4939387724926006,0.9660091719164833,0.7450897571277719,0.9727560718057022,0.6387686147495178,0.7028077777690004,0.2910242872228089,0.33491006934512496,0.4939387724926006,0.9660091719164833,0.7450897571277719,0.9727560718057022
simple_or,0.043597467545103546,0.04378179428803474,0.0019007391763463568,0.0019168455110797917,0.0019168455110797917,0.9997627365444753,0.9980992608236536,1.0,0.043597467545103546,0.04378179428803474,0.0019007391763463568,0.0019168455110797917,0.0019168455110797917,0.9997627365444753,0.9980992608236536,1.0
gpor,0.5389559661278275,0.5969559646733279,0.3686042506418196,0.3945274572445797,0.3563564237590635,0.9837267353153977,,,0.5750900944063165,0.6397558222479676,0.2627243928194298,0.3016497982934152,0.40928751210017306,0.9718973356865428,0.757338965153115,0.9860612460401267
coral,0.6680204487571929,0.7280151145408054,0.37740232312565997,0.4247829818841134,0.530006006999862,0.965123407269722,0.6473072861668426,0.9801478352692714,0.6680204487571929,0.7280151145408054,0.37740232312565997,0.4247829818841134,0.530006006999862,0.965123407269722,0.6473072861668426,0.9801478352692714
corn,0.5168746955477422,0.5685226144023294,0.22956705385427667,0.2667238229629288,0.3232179630868598,0.975978683373243,0.7837381203801478,0.9900739176346357,0.5168746955477422,0.5685226144023294,0.22956705385427667,0.2667238229629288,0.3232179630868598,0.975978683373243,0.7837381203801478,0.9900739176346357
clm,0.6963473868767924,0.7616390490373846,0.34889123548046463,0.4140066986280142,0.5800940410185715,0.9626330870132505,0.6969376979936642,0.9624076029567054,0.6963473868767924,0.7616390490373846,0.34889123548046463,0.4140066986280142,0.5800940410185715,0.9626330870132505,0.6969376979936642,0.9624076029567054
nn_rank,0.6487743297478792,0.7219367852761107,0.32544878563885954,0.3854482701091278,0.5211927219348051,0.9658213856488531,0.7036958817317845,0.9786694825765575,0.6487743297478792,0.7219367852761107,0.32544878563885954,0.3854482701091278,0.5211927219348051,0.9658213856488531,0.7036958817317845,0.9786694825765575
condor,0.5445321951088216,0.6214693044995651,0.24456177402323126,0.3110066479577892,0.38622409643517314,0.9742387513660623,0.7746568109820485,0.9850052798310454,0.5445321951088216,0.6214693044995651,0.24456177402323126,0.3110066479577892,0.38622409643517314,0.9742387513660623,0.7746568109820485,0.9850052798310454
or_cnn,0.6490997746290184,0.7443927374837567,0.3229144667370644,0.40032631082299913,0.554120547618561,0.9673804373821251,0.7070749736008448,0.9784582893347413,0.6490997746290184,0.7443927374837567,0.3229144667370644,0.40032631082299913,0.554120547618561,0.9673804373821251,0.7070749736008448,0.9784582893347413
