metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
linear_regression_ridge,0.6592098638385387,0.8061017507782234,0.43112151364204077,0.5090028188221221,0.6498000326077171,0.9801069539761874,,,0.6497501753679698,0.7246829258640644,0.31319957761351636,0.3657002227540248,0.525165343038901,0.9665876671439686,0.7165786694825765,0.9799366420274551
kernel_svm,0.37116708603140547,0.35835667176941316,0.241330296563344,0.22896236681725793,0.12841950420165094,0.9928769877909599,,,0.38586427080058167,0.37578266242184455,0.12650475184794086,0.12127585133752111,0.14121260937684998,0.9854620317925462,0.8827877507919747,0.9921858500527984
knn,0.026532573805058433,0.022829341292967254,0.0014079549454417458,0.0010392491365115281,0.0005211788238707797,0.9999992431787702,,,0.035597183187684546,0.029209843671767752,0.0012671594508975714,0.0008532149673291106,0.0008532149673291106,0.9998250796932755,0.9987328405491024,1.0
random_forest,0.1505686331272685,0.17249968068831525,0.08718876416907036,0.1010695093645131,0.029756139837570725,0.9996547003139294,,,0.1258550481157575,0.14838349408853305,0.014994720168954593,0.020040482486522942,0.02201766131792172,0.9984718833344938,0.9854276663146779,0.9995776135163674
lightgbm,0.18429517794884864,0.17478283602426012,0.12592511730952438,0.12144710992024522,0.030549039768683405,0.9991461164475417,,,0.1496211336426902,0.13556783367176442,0.021964097148891235,0.018170607570141474,0.018378637526455185,0.9970737507151961,0.978247096092925,0.9997888067581837
linear_ordinal_model_probit,0.637941515328746,0.7122373806668734,0.29039070749736007,0.33972986401308375,0.5072820864192087,0.9668161325526975,0.7425554382259768,0.976557550158395,0.637941515328746,0.7122373806668734,0.29039070749736007,0.33972986401308375,0.5072820864192087,0.9668161325526975,0.7425554382259768,0.976557550158395
linear_ordinal_model_logit,0.6301137156216903,0.6993692515912496,0.2813093980992608,0.3245247428272026,0.4891173500713046,0.9673168643988266,0.7510031678986272,0.9771911298838437,0.6301137156216903,0.6993692515912496,0.2813093980992608,0.3245247428272026,0.4891173500713046,0.9673168643988266,0.7510031678986272,0.9771911298838437
ordered_random_forest,0.4335458282770958,0.4720498978270941,0.1545934530095037,0.18222286697922002,0.22283110603856998,0.9825797727417211,0.8587117212249208,0.9888067581837381,0.4335458282770958,0.4720498978270941,0.1545934530095037,0.18222286697922002,0.22283110603856998,0.9825797727417211,0.8587117212249208,0.9888067581837381
logisticAT,0.6063723559019755,0.6699492137592936,0.2832101372756072,0.3292348102474503,0.4488319490166957,0.9685319408831801,0.7429778247096093,0.9814149947201689,0.6063723559019755,0.6699492137592936,0.2832101372756072,0.3292348102474503,0.4488319490166957,0.9685319408831801,0.7429778247096093,0.9814149947201689
logisticIT,0.6211682966783724,0.6868937771614975,0.27518479408658925,0.31686563095432513,0.4718230611031889,0.9674564979157143,0.7577613516367476,0.9759239704329461,0.6211682966783724,0.6868937771614975,0.27518479408658925,0.31686563095432513,0.4718230611031889,0.9674564979157143,0.7577613516367476,0.9759239704329461
simple_or,0.035597183187684546,0.03226211969035872,0.0012671594508975714,0.001040844366915032,0.001040844366915032,0.999816849262402,0.9987328405491024,1.0,0.035597183187684546,0.03226211969035872,0.0012671594508975714,0.001040844366915032,0.001040844366915032,0.999816849262402,0.9987328405491024,1.0
gpor,0.5467545306019704,0.6058770908614391,0.3747675407836384,0.4031468694760099,0.36708704923072055,0.9834363997711373,,,0.5831132988743968,0.6460555940796249,0.26948257655755015,0.30917717828559577,0.417387830641577,0.9711573537291609,0.7514255543822598,0.9858500527983105
coral,0.572329204267109,0.6476418611788799,0.2713833157338965,0.3240204956941906,0.41943998035124347,0.9719253380720433,0.7488912354804647,0.9839493136219641,0.572329204267109,0.6476418611788799,0.2713833157338965,0.3240204956941906,0.41943998035124347,0.9719253380720433,0.7488912354804647,0.9839493136219641
corn,0.5986609485862565,0.7190070131268106,0.2789862724392819,0.3917168101927713,0.5169710849255376,0.9747022097666266,0.7478352692713833,0.9797254487856388,0.5986609485862565,0.7190070131268106,0.2789862724392819,0.3917168101927713,0.5169710849255376,0.9747022097666266,0.7478352692713833,0.9797254487856388
clm,0.7026875545834154,0.7972147481763753,0.37254487856388596,0.46452555348327507,0.6355513547099215,0.9631373191575672,0.6684266103484688,0.9662090813093981,0.7026875545834154,0.7972147481763753,0.37254487856388596,0.46452555348327507,0.6355513547099215,0.9631373191575672,0.6684266103484688,0.9662090813093981
nn_rank,0.8661168483128372,0.9795064535027741,0.5313621964097149,0.6248378742436589,0.9594328924535821,0.958565551313993,0.5651531151003167,0.9123548046462513,0.8661168483128372,0.9795064535027741,0.5313621964097149,0.6248378742436589,0.9594328924535821,0.958565551313993,0.5651531151003167,0.9123548046462513
condor,0.4996302751303423,0.5823175087956187,0.20570221752903908,0.27492481528071266,0.33909368104993554,0.9790980166742853,0.8114044350580781,0.9856388595564942,0.4996302751303423,0.5823175087956187,0.20570221752903908,0.27492481528071266,0.33909368104993554,0.9790980166742853,0.8114044350580781,0.9856388595564942
or_cnn,0.6560577922877997,0.7615600444747418,0.32650475184794087,0.41685815813172705,0.5799737013403706,0.9667752642062913,0.7079197465681099,0.973389651531151,0.6560577922877997,0.7615600444747418,0.32650475184794087,0.41685815813172705,0.5799737013403706,0.9667752642062913,0.7079197465681099,0.973389651531151
