epoch,train_batch_count,valid_batch_count,dur,train_loss,train_loss_best,valid_loss,valid_loss_best
1,30,8,0.13381314277648926,0.33974993543614807,True,0.2700266050058786,True
2,30,8,0.13596558570861816,0.24201712326993408,True,0.2292140633371337,True
3,30,8,0.13997244834899902,0.20724485465251657,True,0.19828596014092817,True
4,30,8,0.14255070686340332,0.18078182173505378,True,0.16843004104580017,True
5,30,8,0.15158319473266602,0.15173665900668473,True,0.13730153826939645,True
6,30,8,0.1516435146331787,0.13543452931432312,True,0.14455009359618554,False
7,30,8,0.14188480377197266,0.12527536025709438,True,0.12516031038987724,True
8,30,8,0.13881826400756836,0.11294672541406867,True,0.1097334439314532,True
9,30,8,0.14116168022155762,0.11247953056596778,True,0.113521230903699,False
10,30,8,0.14498686790466309,0.10703840285319335,True,0.11057920405422873,False
11,30,8,0.1445167064666748,0.10952606488023162,False,0.12514430800612147,False
12,30,8,0.1414051055908203,0.10922669463544109,False,0.10444193201999101,True
13,30,8,0.14601373672485352,0.10001557421061154,True,0.10912479929146067,False
14,30,8,0.14522528648376465,0.09509104693263234,True,0.09515561950181581,True
15,30,8,0.14212918281555176,0.09229052549084489,True,0.1016969711076244,False
16,30,8,0.14710116386413574,0.08814690366717805,True,0.0895348361515319,True
17,30,8,0.14817047119140625,0.09409740648243219,False,0.1053765134565304,False
18,30,8,0.14646196365356445,0.08546098307514643,True,0.0951982268310273,False
19,30,8,0.14303302764892578,0.08497198992885784,True,0.08764890627788012,True
20,30,8,0.1476895809173584,0.08147312777850545,True,0.08566495356835432,True
21,30,8,0.1532895565032959,0.08239854685765512,False,0.08759783923531535,False
22,30,8,0.14329981803894043,0.08349002922128851,False,0.08591905892398818,False
23,30,8,0.15006351470947266,0.07994136205601969,True,0.08410400322145746,True
24,30,8,0.16037964820861816,0.07593746432973565,True,0.08719857592517244,False
25,30,8,0.1511838436126709,0.0747580774199245,True,0.08615433751215024,False
26,30,8,0.1497821807861328,0.0744387579033468,True,0.08397154893958203,True
27,30,8,0.15125107765197754,0.07126679829269679,True,0.08122541135474017,True
28,30,8,0.1550741195678711,0.06951645890756293,True,0.07822823899757773,True
29,30,8,0.14755487442016602,0.07081359897080293,False,0.08054306583897994,False
30,30,8,0.15053582191467285,0.07240384269541143,False,0.08440344330659008,False
31,30,8,0.15554380416870117,0.07617157784220788,False,0.0799302295039171,False
32,30,8,0.1493513584136963,0.07146884075738687,False,0.08764907200805992,False
33,30,8,0.1483612060546875,0.07112995257410354,False,0.0800064599816122,False
34,30,8,0.15081572532653809,0.06964839473288062,False,0.09309568191625753,False
35,30,8,0.15232181549072266,0.07630495053598974,False,0.09044782847260473,False
36,30,8,0.14834356307983398,0.07104354260888623,False,0.09325502680687366,False
37,30,8,0.151763916015625,0.07098703478180746,False,0.08168857683916404,False
38,30,8,0.15034723281860352,0.06732177352011519,True,0.07962812488817993,False
39,30,8,0.14282536506652832,0.06421501038019735,True,0.08034425903870916,False
40,30,8,0.14970922470092773,0.0640289969781636,True,0.07846287228049044,False
