metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,2.7605596633966116,4.202954649976628,1.9655172413793103,2.815874704191144,17.66482778976016,0.6879700744160133,,,2.7605596633966116,4.202954649976628,1.9655172413793103,2.815874704191144,17.66482778976016,0.6879700744160133,0.17672413793103448,0.5387931034482759
1,1.3291314415873317,1.4159000151110321,0.9336384439359268,1.0207884212369698,2.004772852791421,0.8796264306968762,,,1.3291314415873317,1.4159000151110321,0.9336384439359268,1.0207884212369698,2.004772852791421,0.8796264306968762,0.37986270022883295,0.7643020594965675
2,0.8930219628092327,0.9813425648270372,0.565149136577708,0.6507978212494305,0.9630332295413077,0.9287320923681693,,,0.8930219628092327,0.9813425648270372,0.565149136577708,0.6507978212494305,0.9630332295413077,0.9287320923681693,0.5306122448979592,0.9183673469387755
3,0.8179585276327405,0.8888701610485549,0.5161290322580645,0.5875888517006661,0.7900901632024839,0.9376928496805073,,,0.8179585276327405,0.8888701610485549,0.5161290322580645,0.5875888517006661,0.7900901632024839,0.9376928496805073,0.5519713261648745,0.9390681003584229
4,0.788188176455191,0.8582468188087697,0.49718045112781956,0.564982421348656,0.7365876019953733,0.9395030901041116,,,0.788188176455191,0.8582468188087697,0.49718045112781956,0.564982421348656,0.7365876019953733,0.9395030901041116,0.5582706766917294,0.950187969924812
5,0.7807583881356304,0.843849895182161,0.4917517674783975,0.5442080999985727,0.7120826455989442,0.9478476886580077,,,0.7807583881356304,0.843849895182161,0.4917517674783975,0.5442080999985727,0.7120826455989442,0.9478476886580077,0.5608798114689709,0.9520816967792616
6,0.7061518762523278,0.8220315238259734,0.40823211875843457,0.5080869227871024,0.6757358261636519,0.9556926702520963,,,0.7061518762523278,0.8220315238259734,0.40823211875843457,0.5080869227871024,0.6757358261636519,0.9556926702520963,0.6302294197031039,0.9655870445344129
7,0.7393478092202745,0.8669872147754617,0.4309327036599764,0.5521926902871498,0.7516668305841125,0.9568742284572695,,,0.7393478092202745,0.8669872147754617,0.4309327036599764,0.5521926902871498,0.7516668305841125,0.9568742284572695,0.6198347107438017,0.9539551357733176
8,0.7041512540141631,0.8177167407543033,0.3988529718456726,0.5036835536241341,0.6686606681098405,0.9571949837898641,,,0.7041512540141631,0.8177167407543033,0.3988529718456726,0.5036835536241341,0.6686606681098405,0.9571949837898641,0.6444212721584984,0.9598540145985401
9,0.6961912187590955,0.8021016643604871,0.3914037494284408,0.4859636205867754,0.6433670799698635,0.9592166417522711,,,0.6961912187590955,0.8021016643604871,0.3914037494284408,0.4859636205867754,0.6433670799698635,0.9592166417522711,0.6492912665752172,0.9625057155921354
10,0.692137511121251,0.7927981531602982,0.39610120282040645,0.48874403856450793,0.6285289116543796,0.9580775262211803,,,0.692137511121251,0.7927981531602982,0.39610120282040645,0.48874403856450793,0.6285289116543796,0.9580775262211803,0.6416424720033181,0.9647449191206968
