metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,1.577044376521232,2.4142695840835398,1.0732758620689655,1.7902599753236936,5.828697624630908,0.9311552389669306,,,1.577044376521232,2.4142695840835398,1.0732758620689655,1.7902599753236936,5.828697624630908,0.9311552389669306,0.3706896551724138,0.7327586206896551
1,0.9275839041906134,1.0643173805300177,0.585812356979405,0.7311097613710801,1.1327714864982783,0.956056570339578,,,0.9275839041906134,1.0643173805300177,0.585812356979405,0.7311097613710801,1.1327714864982783,0.956056570339578,0.5423340961098398,0.8787185354691075
2,0.7305833027953698,0.8807838977027803,0.4175824175824176,0.5448537734173051,0.7757802744525018,0.9598595768385869,,,0.7305833027953698,0.8807838977027803,0.4175824175824176,0.5448537734173051,0.7757802744525018,0.9598595768385869,0.6263736263736264,0.9654631083202512
3,1.0743006393925694,1.3808741283411718,0.7025089605734767,0.9672616075924532,1.906813358321991,0.9525012755411939,,,1.0743006393925694,1.3808741283411718,0.7025089605734767,0.9672616075924532,1.906813358321991,0.9525012755411939,0.46833930704898447,0.8709677419354839
4,0.8545543621647115,1.068134468423853,0.5310150375939849,0.75886871092209,1.1409112426351071,0.9610337116003566,,,0.8545543621647115,1.068134468423853,0.5310150375939849,0.75886871092209,1.1409112426351071,0.9610337116003566,0.5554511278195489,0.9257518796992481
5,0.7872710829516387,1.0065134072700155,0.45011783189316573,0.6442206394305152,1.013069239014296,0.9576014807754587,,,0.7872710829516387,1.0065134072700155,0.45011783189316573,0.6442206394305152,1.013069239014296,0.9576014807754587,0.6166535742340927,0.9465828750981933
6,0.6921577285471747,0.8644086881472401,0.358974358974359,0.5074320978324528,0.7472023801444326,0.9667246120233218,,,0.6921577285471747,0.8644086881472401,0.358974358974359,0.5074320978324528,0.7472023801444326,0.9667246120233218,0.6909581646423751,0.9574898785425101
7,0.6824672235470776,0.844433718529633,0.34415584415584416,0.47757240318112637,0.7130683049897835,0.9714600380621583,,,0.6824672235470776,0.844433718529633,0.34415584415584416,0.47757240318112637,0.7130683049897835,0.9714600380621583,0.7077922077922078,0.9551357733175915
8,1.088378269518442,1.4772752254743586,0.6423357664233577,0.9970976408705201,2.1823420918003174,0.9596844181004924,,,1.088378269518442,1.4772752254743586,0.6423357664233577,0.9970976408705201,2.1823420918003174,0.9596844181004924,0.5542231491136601,0.8607924921793535
9,0.7304845527154081,0.8627522479346589,0.4028349336991312,0.5341589855059542,0.7443414413163072,0.9728100600960047,,,0.7304845527154081,0.8627522479346589,0.4028349336991312,0.5341589855059542,0.7443414413163072,0.9728100600960047,0.6556927297668038,0.9469593049839964
