metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,1.0687569318186174,1.1487304565600867,0.771551724137931,0.8603722197270531,1.319581661828745,0.9559871065303036,,,1.0687569318186174,1.1487304565600867,0.771551724137931,0.8603722197270531,1.319581661828745,0.9559871065303036,0.3922413793103448,0.8577586206896551
1,1.2835876495216743,1.4701568994235814,0.9565217391304348,1.1277076160564266,2.1613613089227584,0.9358624302065107,,,1.2835876495216743,1.4701568994235814,0.9565217391304348,1.1277076160564266,2.1613613089227584,0.9358624302065107,0.32265446224256294,0.7780320366132724
2,0.7854644957586124,0.9174238033166242,0.4725274725274725,0.5891831130607919,0.8416664348919399,0.9575419640323309,,,0.7854644957586124,0.9174238033166242,0.4725274725274725,0.5891831130607919,0.8416664348919399,0.9575419640323309,0.5918367346938775,0.9419152276295133
3,0.7541205009731884,0.8983029461811067,0.43966547192353644,0.5867699084685745,0.8069481831176563,0.9668511139726427,,,0.7541205009731884,0.8983029461811067,0.43966547192353644,0.5867699084685745,0.8069481831176563,0.9668511139726427,0.6188769414575866,0.9474313022700119
4,0.7608859102526822,0.8517330537105728,0.4830827067669173,0.5618921834138655,0.7254491947831375,0.9565893259190982,,,0.7608859102526822,0.8517330537105728,0.4830827067669173,0.5618921834138655,0.7254491947831375,0.9565893259190982,0.5592105263157895,0.9605263157894737
5,0.8542670493898339,0.9393775711367683,0.5695208169677927,0.6528138675370433,0.8824302211548142,0.9559927435683424,,,0.8542670493898339,0.9393775711367683,0.5695208169677927,0.6528138675370433,0.8824302211548142,0.9559927435683424,0.4996072270227808,0.9387274155538099
6,0.7337993857053428,0.8414841467367189,0.45614035087719296,0.5400963381785183,0.7080955692092239,0.9589131508782556,,,0.7337993857053428,0.8414841467367189,0.45614035087719296,0.5400963381785183,0.7080955692092239,0.9589131508782556,0.5762483130904184,0.9723346828609987
7,0.6487659705422658,0.7653414153326609,0.3500590318772137,0.44814146318369985,0.5857474820234004,0.9666087031129461,,,0.6487659705422658,0.7653414153326609,0.3500590318772137,0.44814146318369985,0.5857474820234004,0.9666087031129461,0.6770956316410862,0.9775678866587958
8,0.7115170533482822,0.7856111381971691,0.4165797705943691,0.4594056068060332,0.6171848604594515,0.9624498799654706,,,0.7115170533482822,0.7856111381971691,0.4165797705943691,0.4594056068060332,0.6171848604594515,0.9624498799654706,0.6173096976016684,0.9718456725755996
