metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,1.1005484526142972,1.5619724084138018,0.7629310344827587,1.1828392401187526,2.4397578046460127,0.9508933901070477,,,1.1005484526142972,1.5619724084138018,0.7629310344827587,1.1828392401187526,2.4397578046460127,0.9508933901070477,0.4267241379310345,0.8405172413793104
1,1.0392745225303939,1.255839983823606,0.6864988558352403,0.8717969281944683,1.5771340649700754,0.9496372410257553,,,1.0392745225303939,1.255839983823606,0.6864988558352403,0.8717969281944683,1.5771340649700754,0.9496372410257553,0.47139588100686497,0.8718535469107551
2,0.6758911786673311,0.8867375731142837,0.33751962323390894,0.49973088727171244,0.7863035235726096,0.9662395812530875,,,0.6758911786673311,0.8867375731142837,0.33751962323390894,0.49973088727171244,0.7863035235726096,0.9662395812530875,0.706436420722135,0.967032967032967
3,0.9358133972413474,0.9960388270685021,0.6798088410991637,0.7393775407883084,0.9920933450279975,0.9584841711411842,,,0.9358133972413474,0.9960388270685021,0.6798088410991637,0.7393775407883084,0.9920933450279975,0.9584841711411842,0.4133811230585424,0.9115890083632019
4,0.6889296481865009,0.9178329632873128,0.3599624060150376,0.5416204902216988,0.8424173484967696,0.9633607337675093,,,0.6889296481865009,0.9178329632873128,0.3599624060150376,0.5416204902216988,0.8424173484967696,0.9633607337675093,0.6860902255639098,0.9624060150375939
5,0.6691496051182058,0.8118602904117396,0.3566378633150039,0.4973972630322776,0.6591171311474341,0.9695445772917923,,,0.6691496051182058,0.8118602904117396,0.3566378633150039,0.4973972630322776,0.6591171311474341,0.9695445772917923,0.6834249803613511,0.9646504320502749
6,0.6441892245955533,0.8079270389597668,0.3272604588394062,0.45949570787687416,0.6527461002822965,0.9683387347723582,,,0.6441892245955533,0.8079270389597668,0.3272604588394062,0.45949570787687416,0.6527461002822965,0.9683387347723582,0.708502024291498,0.9696356275303644
7,0.5971202042894883,0.7138446565542256,0.29279811097992914,0.3892746721334509,0.5095741936910203,0.9720635888044296,,,0.5971202042894883,0.7138446565542256,0.29279811097992914,0.3892746721334509,0.5095741936910203,0.9720635888044296,0.7325855962219598,0.9793388429752066
8,0.6331970290366288,0.7314636301130345,0.3289885297184567,0.421824932066259,0.5350390421781381,0.9715028922386123,,,0.6331970290366288,0.7314636301130345,0.3289885297184567,0.421824932066259,0.5350390421781381,0.9715028922386123,0.7033368091762252,0.9697601668404588
9,0.6190099326776135,0.7753758476086139,0.2917238225880201,0.4129494555080768,0.6012077050547765,0.9761890195786364,,,0.6190099326776135,0.7753758476086139,0.2917238225880201,0.4129494555080768,0.6012077050547765,0.9761890195786364,0.7453132144490169,0.9670781893004116
10,0.5399817192782619,0.646817070928805,0.24927416009954376,0.3294789481721716,0.4183723232449188,0.9757139251242979,,,0.5399817192782619,0.646817070928805,0.24927416009954376,0.3294789481721716,0.4183723232449188,0.9757139251242979,0.7669017005391954,0.9863127333056823
11,0.5690138472917736,0.6633618871137593,0.26567278287461776,0.3492047927893026,0.44004899327512803,0.9741750776187205,,,0.5690138472917736,0.6633618871137593,0.26567278287461776,0.3492047927893026,0.44004899327512803,0.9741750776187205,0.757262996941896,0.9808868501529052
12,0.6863570766527931,0.7850970019619277,0.3638928067700987,0.4650534540255627,0.616377302489607,0.9728354893158349,,,0.6863570766527931,0.7850970019619277,0.3638928067700987,0.4650534540255627,0.616377302489607,0.9728354893158349,0.6773624823695346,0.9643864598025388
13,0.5333979915542575,0.616335876914735,0.23731005496281926,0.3122322302372833,0.3798699131722554,0.9760585162519332,,,0.5333979915542575,0.616335876914735,0.23731005496281926,0.3122322302372833,0.3798699131722554,0.9760585162519332,0.7795021015195603,0.9870675719366311
14,0.6014114486832921,0.7313024170777722,0.26849067949488875,0.3734263361101456,0.534803225223792,0.9748268493428848,,,0.6014114486832921,0.7313024170777722,0.26849067949488875,0.3734263361101456,0.534803225223792,0.9748268493428848,0.7621767889356584,0.9765484064942874
15,0.526718261214506,0.5784800151027497,0.22539592760180996,0.25629873963609623,0.3346391278732775,0.9766972247841289,,,0.526718261214506,0.5784800151027497,0.22539592760180996,0.25629873963609623,0.3346391278732775,0.9766972247841289,0.792420814479638,0.9869909502262444
16,0.6295332656416488,0.7533205892393184,0.30758952431854625,0.4212150796848145,0.567491910171874,0.9734672596635692,,,0.6295332656416488,0.7533205892393184,0.30758952431854625,0.4212150796848145,0.567491910171874,0.9734672596635692,0.7226082308925709,0.9767504008551576
17,0.5342767263480307,0.6311414893605458,0.233969202482188,0.3108375184468538,0.3983395795922479,0.9754753109298838,,,0.5342767263480307,0.6311414893605458,0.233969202482188,0.3108375184468538,0.3983395795922479,0.9754753109298838,0.7846472075384969,0.9852907377614342
18,0.5586981397896678,0.6399255062984682,0.25723336853220696,0.3189304016959246,0.40950465361135086,0.9755894880558473,,,0.5586981397896678,0.6399255062984682,0.25723336853220696,0.3189304016959246,0.40950465361135086,0.9755894880558473,0.7621964097148891,0.9850052798310454
19,0.6986846867070867,0.7835812302889648,0.4003238210888484,0.48698795146009094,0.6139995444611676,0.9659767691067034,,,0.6986846867070867,0.7835812302889648,0.4003238210888484,0.48698795146009094,0.6139995444611676,0.9659767691067034,0.6328678405181137,0.9720704310868246
20,0.5236498816242882,0.5884392311000552,0.23500873277702308,0.28852034776292285,0.3462607286976242,0.9762295230650019,,,0.5236498816242882,0.5884392311000552,0.23500873277702308,0.28852034776292285,0.3462607286976242,0.9762295230650019,0.7793518338831749,0.9887444207257908
