metrics,"('no_rounding', 'rmse')","('no_rounding', 'rmse')","('no_rounding', 'rmse_macroaveraged')","('no_rounding', 'rmse_macroaveraged')","('no_rounding', 'mae')","('no_rounding', 'mae')","('no_rounding', 'mae_macroaveraged')","('no_rounding', 'mae_macroaveraged')","('no_rounding', 'mse_macroaveraged')","('no_rounding', 'mse_macroaveraged')","('no_rounding', 'somers_d')","('no_rounding', 'somers_d')","('no_rounding', 'accuracy')","('no_rounding', 'accuracy')","('no_rounding', 'accuracy1')","('no_rounding', 'accuracy1')","('mathematical', 'rmse')","('mathematical', 'rmse')","('mathematical', 'rmse_macroaveraged')","('mathematical', 'rmse_macroaveraged')","('mathematical', 'mae')","('mathematical', 'mae')","('mathematical', 'mae_macroaveraged')","('mathematical', 'mae_macroaveraged')","('mathematical', 'mse_macroaveraged')","('mathematical', 'mse_macroaveraged')","('mathematical', 'somers_d')","('mathematical', 'somers_d')","('mathematical', 'accuracy')","('mathematical', 'accuracy')","('mathematical', 'accuracy1')","('mathematical', 'accuracy1')"
model,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std
linear_regression_ridge,0.6611409339820433,0.05019476850838972,0.8010424795317077,0.07350726921365731,0.44596910287838504,0.025687964992472903,0.5177190202573253,0.03356060639704505,0.6470723726415556,0.09801033930243386,0.9775055021662272,0.002675401808608833,,,,,0.6575568926052142,0.04175622090474318,0.736723254153909,0.04452507744663066,0.33379677795968865,0.028068200952960868,0.38308491454989635,0.024762761925697038,0.5447436357327538,0.060439880869550405,0.9627974301535018,0.00354193107010384,0.6986530081045862,0.023854098108275983,0.9753282550048206,0.004829334494909897
kernel_svm,0.3491416527823608,0.022543219797688314,0.3285574764224138,0.029627499368214537,0.23025036278195574,0.01626124743351913,0.21579231577896585,0.02081222860324915,0.10882780403187851,0.01909572999361953,0.9931957744232486,0.0010873650040918816,,,,,0.3673796082181593,0.021865622694997436,0.3426793619507001,0.03262772709096728,0.11822014559180063,0.011369186268626923,0.10485952068603528,0.016761905638303702,0.11849371368206152,0.021578362816851923,0.9852734685666766,0.0013338056540504585,0.8891802538840655,0.009793780682308528,0.9937316797707277,0.0018034227520062752
knn,0.026868685091259132,0.009131676336735277,0.024287794766653385,0.009562400073861627,0.0016509289738454807,0.0006276123172061083,0.0013346215618483383,0.0007134738005756369,0.000681336469799619,0.0003616143864891996,0.9999976631213607,1.407819841524721e-06,,,,,0.034466961575798614,0.011853317300455446,0.031677229244350215,0.012180651579830146,0.0013284725712928143,0.0005260752235748936,0.0011518151255083,0.0005910240632039753,0.0011518151255083,0.0005910240632039753,0.9997745775377512,0.00010056172365727179,0.9986715274287072,0.0005260752235749134,1.0,0.0
random_forest,0.16548719229831446,0.014404547876101879,0.20250586912717022,0.033270322152755986,0.09695551842506016,0.008934227933544103,0.11546047106720927,0.01448251995489009,0.04211554136709873,0.015646425871353502,0.9995647079488428,0.00011414210125523685,,,,,0.13891317484427607,0.019714514760721523,0.1774776301746494,0.030306053468540733,0.018301112383423305,0.005358465695536897,0.028551674163796063,0.010609968362095025,0.03241676608924763,0.011979905901446167,0.9982387095941844,0.0005068314326129613,0.9823910975436486,0.0049006426374293656,0.9993077900729281,0.0004834304296946715
lightgbm,0.15013773610413417,0.043986036028089745,0.14901472037973326,0.05438376837692084,0.10262279996669801,0.031947716567911566,0.1021149594161389,0.03579465223359469,0.025162981152724622,0.019062783248365005,0.9995939191704517,0.00048625778062448305,,,,,0.11254617981206601,0.043941375260981894,0.1068086018512265,0.056341995556564384,0.01443223261400141,0.010378126557930646,0.01449755446931478,0.01629042965170024,0.014582497892709706,0.01635823860195013,0.9980655941474955,0.001225365598526106,0.985650394604056,0.01025253792494421,0.9999173727819426,0.00016864877517974746
linear_ordinal_model_probit,0.6690216655072285,0.09036307643892759,0.7622061285494207,0.08438000172405295,0.3269706843833643,0.06952387256064882,0.3892792637541001,0.06890235142583684,0.5880781670892473,0.14179829141483563,0.9625858045009626,0.007322160107615764,,,,,0.6690216655072285,0.09036307643892759,0.7622061285494207,0.08438000172405295,0.3269706843833643,0.06952387256064882,0.3892792637541001,0.06890235142583684,0.5880781670892473,0.14179829141483563,0.9625858045009626,0.007322160107615764,0.7148286889235449,0.04976634525101304,0.9680051842009828,0.015771989244528783
linear_ordinal_model_logit,0.6334362134875773,0.049882447288523875,0.7257944654037937,0.03747377417415676,0.29536947742803327,0.032100668546070986,0.3555913661908488,0.030355451972483568,0.5281818897616342,0.051122844355267184,0.965873300222402,0.0028956660035591216,,,,,0.6334362134875773,0.049882447288523875,0.7257944654037937,0.03747377417415676,0.29536947742803327,0.032100668546070986,0.3555913661908488,0.030355451972483568,0.5281818897616342,0.051122844355267184,0.965873300222402,0.0028956660035591216,0.7389915823070095,0.027736990030771028,0.9734330293643408,0.004068379690359731
ordered_random_forest,0.48094283700507146,0.045194224624216815,0.5266453941112521,0.05541465434352646,0.18426653387249625,0.02803796445023531,0.21670901937714332,0.03327075797028162,0.2804261550546086,0.06345681990734453,0.9779203867837509,0.004628025088182444,,,,,0.48094283700507146,0.045194224624216815,0.5266453941112521,0.05541465434352646,0.18426653387249625,0.02803796445023531,0.21670901937714332,0.03327075797028162,0.2804261550546086,0.06345681990734453,0.9779203867837509,0.004628025088182444,0.8357185184980154,0.021263654680381754,0.9825814069727491,0.006688170630329162
logisticAT,0.6116851441562635,0.04572706073602197,0.6884612110713866,0.0547127050332207,0.30017406334200425,0.03096995714436006,0.3578198320322716,0.037141531589796814,0.4769723192419324,0.0643213614569462,0.9665518874750125,0.0024513531822074335,,,,,0.6116851441562635,0.04572706073602197,0.6884612110713866,0.0547127050332207,0.30017406334200425,0.03096995714436006,0.3578198320322716,0.037141531589796814,0.4769723192419324,0.0643213614569462,0.9665518874750125,0.0024513531822074335,0.7254726966983677,0.026529527901734743,0.9802818848560759,0.004330231556474563
