metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.18831175140571774,0.3987873281083799,0.11299540284408016,0.1810433397624131,0.15903133305982067,0.9997612320426599,,,0.1737020834449128,0.43405736614121554,0.021551724137931036,0.10144927536231885,0.18840579710144925,0.9992439014684229,0.9827586206896551,0.9956896551724138
1,0.3402351252894055,0.38856638990541126,0.2142891574145406,0.2116436716536581,0.1509838393641241,0.9975035941557356,,,0.33142090599966445,0.36197179319012274,0.08237986270022883,0.07305256457251937,0.13102357906527298,0.9907610694424323,0.9244851258581236,0.9977116704805492
2,0.3939871259089904,0.4652787693830398,0.2705070794420521,0.28409949942981,0.21648433323859595,0.9935306545022651,,,0.4230412429652782,0.5136589739253404,0.14442700156985872,0.16586848835393692,0.26384554149403355,0.9834613888859692,0.8634222919937206,0.9968602825745683
3,0.38792239067795226,0.44661559594962924,0.2655473024093954,0.2769512122015682,0.1994654905454425,0.9936253310333099,,,0.41189018499138114,0.4780947014084584,0.13859020310633213,0.1529294392377132,0.22857454351484296,0.9843503243519036,0.8685782556750299,0.997610513739546
4,0.4089627120699129,0.4779030694349525,0.2916367750780693,0.30930480534351285,0.22839134377534903,0.991317109657142,,,0.43355498476206,0.5090441509832182,0.16165413533834586,0.18229259618584082,0.2591259476502254,0.9808549539884254,0.8449248120300752,0.9971804511278195
5,0.44425860686678403,0.5032730284231149,0.32176449067946195,0.34108229676500135,0.2532837411381734,0.9886822309577911,,,0.47893571457555106,0.5374746592124185,0.19795758051846032,0.21938289487617887,0.2888790092955055,0.9773749937467252,0.812254516889238,0.992930086410055
6,0.44703823665162196,0.5228760107230698,0.31960319318112085,0.3500838546924253,0.27339932258967176,0.9893009771120694,,,0.4711658953539288,0.5496722437843967,0.19365721997300944,0.22887193093331148,0.30213957558697324,0.9785369234218626,0.8157894736842105,0.9932523616734144
7,0.42996985535502447,0.4818361019618832,0.30925521052808835,0.3300147222534713,0.2321660291538223,0.9906752889610125,,,0.4641835324847147,0.5240761437670791,0.19067296340023612,0.21949754697638948,0.27465580446577215,0.9801959912692243,0.8175914994096812,0.9940968122786304
8,0.43756392015085344,0.4848015592359481,0.3202555235265903,0.3352373507312017,0.23503255183760646,0.9898976220139754,,,0.46961924097202046,0.5177950904405278,0.19447340980187697,0.21500293637137594,0.2681117556843144,0.979242612661309,0.8149113660062565,0.9927007299270073
9,0.4372670966911664,0.48521484986424585,0.3185113893411817,0.3389094689583495,0.23543345052878262,0.9900705937428516,,,0.4800548665487304,0.5312683934489818,0.2085048010973937,0.234559158853773,0.28224610587786214,0.9783360020995476,0.7992684042066758,0.994055784179241
10,0.4639276279013081,0.5218777254629217,0.3416116462996323,0.36896568832150384,0.2723563603343527,0.9880080085418602,,,0.5103653915083193,0.5747147258593924,0.2322687681459975,0.27228687503913174,0.33029701611963663,0.9752251717485937,0.7789299046038988,0.990460389879718
11,0.4804105374470296,0.5221341266025938,0.34105972447439464,0.359451123513563,0.27262404616305347,0.9876618043454101,,,0.5213338573560018,0.5666949000418053,0.22897553516819572,0.25676156139379686,0.3211431097333917,0.9758180033329071,0.7847859327217125,0.9904434250764526
12,0.5080053665544843,0.5615951480884951,0.35547592742010636,0.38210092282457986,0.31538911035653877,0.9863748294911973,,,0.5455293362410283,0.6011573027432899,0.2468265162200282,0.28561214523534223,0.3613901026415876,0.9748214347303756,0.7693935119887165,0.9887165021156559
13,0.5275099989361042,0.574459398480564,0.35697115208493396,0.3765474798371823,0.3300036005026515,0.9857592311113176,,,0.5620271839046447,0.6106582742051766,0.24539282250242483,0.27284123878170374,0.37290352785524467,0.9745984862061565,0.7730358874878759,0.9886841254445522
14,0.5318446733429164,0.5858179847828239,0.3604030890196667,0.38334907119399875,0.3431827112950088,0.984851819817956,,,0.565600378654696,0.6214482658658268,0.24834636199639207,0.2789742578195264,0.38619794714764333,0.973504094219244,0.7711966325917018,0.9873722188815394
15,0.5467228529650413,0.610138589093869,0.3714780744501721,0.4043373049355733,0.37226909790145707,0.9836422566166548,,,0.5883484054145521,0.6575778732209228,0.27262443438914025,0.31821584640889505,0.43240865934975203,0.9711655404918647,0.7485859728506787,0.9864253393665159
16,0.5367607801492567,0.5888053126154644,0.3629398974923799,0.38691874942978877,0.3466916961641948,0.9846090871755044,,,0.5674683339135808,0.627315217956484,0.2520042757883485,0.2890173069138486,0.3935243826797911,0.973730067858346,0.7683057188669161,0.9866381614110101
17,0.5436891373982138,0.5941207013341177,0.37425195319121196,0.3970980923645458,0.35297940775374387,0.9832858740917332,,,0.5929951942391395,0.6462625751013116,0.2813146403125718,0.3125627780794873,0.41765531597657835,0.9696779676769531,0.7386807630429786,0.9866697310962997
