metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.2724925697398769,0.2541289757631781,0.1759212597812392,0.1637910859352233,0.06458153632244197,0.9954634088105376,,,0.29361010975735174,0.252906589966451,0.08620689655172414,0.06396174324845857,0.06396174324845857,0.9863504317720562,0.9137931034482759,1.0
1,0.3477412596823801,0.28247263774072745,0.22144173366844275,0.18385924888534966,0.07979079107220423,0.9923993357777308,,,0.3826918985879519,0.30142368793337004,0.13272311212814644,0.08488142578578549,0.09085623964735366,0.9822353976975114,0.8741418764302059,0.9931350114416476
2,0.36594009894945745,0.3068633280046565,0.2287768841346886,0.19545953604478367,0.0941651020740934,0.990461525525273,,,0.3716820774788519,0.29637453089770965,0.1130298273155416,0.07731767622943372,0.08783786256483746,0.9835034317486677,0.8963893249607535,0.9937205651491365
3,0.34947994003592453,0.30549503044417525,0.22440543515030673,0.19903721788594553,0.09332721362608756,0.9926595641293521,,,0.36905381294044115,0.3177142843321677,0.11469534050179211,0.0900065926704565,0.10094236646870151,0.9848149857868267,0.8936678614097969,0.994026284348865
4,0.3504115866211802,0.3115317699939318,0.22689673485021347,0.2004809359896484,0.09705204371555201,0.9920575258012361,,,0.37295810000709495,0.33162404929821293,0.12030075187969924,0.0977684955261149,0.10997451007294357,0.9834785203765545,0.8872180451127819,0.9943609022556391
5,0.352641208229624,0.3241504941606971,0.22855260195985547,0.20857133645623727,0.1050735428646241,0.9920787465014573,,,0.37498363410215907,0.33985979457277676,0.12175962293794187,0.1019382620679456,0.11550467996705004,0.9836256355301856,0.8860958366064414,0.9937156323644933
6,0.3363666980559855,0.30990271002848574,0.22077675542729708,0.20199122399349764,0.09603968968299971,0.9934901255094484,,,0.35899845687382387,0.33250935736645254,0.1126855600539811,0.0989162471161437,0.11056247273625125,0.9853777755777308,0.8940620782726046,0.9946018893387314
7,0.33570153810529707,0.3197573110745077,0.21921529275456955,0.2084347034019429,0.10224473798559951,0.9940377174835189,,,0.35040876787615693,0.3358023161655918,0.10625737898465171,0.09954732336310887,0.11276319554217606,0.9871641916894909,0.9008264462809917,0.9940968122786304
8,0.33376643265313355,0.3167426270538049,0.22022699964871528,0.2080353601440301,0.10032589179294574,0.9943567059713001,,,0.3522606864821505,0.33288098243006214,0.10844629822732013,0.09824157105359287,0.11080974846360334,0.986771422677133,0.8983315954118873,0.9942648592283628
