metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,0.028016590734026292,0.017818861349229703,0.0015698587127158557,0.0006350236395661444,0.0003175118197830722,0.9999947446421626,,,0.03962144258751637,0.025474090105633382,0.0015698587127158557,0.0006489292667099286,0.0006489292667099286,0.999632124951388,0.9984301412872841,1.0
3,0.024441185836892212,0.01576246547325791,0.0011947431302270011,0.0004969106355912952,0.0002484553177956476,0.9999969629971573,,,0.03456505649101418,0.022227711223719353,0.0011947431302270011,0.0004940711462450593,0.0004940711462450593,0.9997357807526908,0.998805256869773,1.0
4,0.033113308926626096,0.022517422211398155,0.0021929824561403508,0.0009795396284329823,0.000507034303046367,0.9999943335499176,,,0.043355498476206,0.02983706500978613,0.0018796992481203006,0.0008902504483982039,0.0008902504483982039,0.9995674609770471,0.9981203007518797,1.0
5,0.030273260151131017,0.020439414735888707,0.0018329405603561139,0.0008156251180261563,0.0004177696747456644,0.9999960505633213,,,0.0396370017644709,0.02713189758521599,0.0015710919088766694,0.0007361398665746492,0.0007361398665746492,0.9996458671778116,0.9984289080911233,1.0
6,0.028057520764226438,0.01926971859703608,0.0015744489428699954,0.0007194315195409202,0.00037132205480895804,0.9999970881730325,,,0.03673591791853225,0.02579844749034641,0.001349527665317139,0.0006655598929121611,0.0006655598929121611,0.9996942581684026,0.9986504723346828,1.0
7,0.03289758474798845,0.03364127411385429,0.0021645021645021645,0.0020584441361852037,0.0011317353240034827,0.9999963017724125,,,0.04208273180784325,0.04555991505175515,0.0017709563164108619,0.0020757058595231455,0.0020757058595231455,0.9997019228564518,0.9982290436835891,1.0
8,0.030916933794813056,0.03062122342124991,0.001911713590545707,0.00173289975743347,0.0009376593238141041,0.9999971187102886,,,0.03954907459543875,0.04108210121339501,0.0015641293013555788,0.0016877390401076318,0.0016877390401076318,0.9997406839259763,0.9984358706986444,1.0
9,0.029817647625904192,0.028407709643786843,0.0018289894833104705,0.0015310999473063022,0.0008069979672057,0.9999973401001186,,,0.037037037037037035,0.037334246844606817,0.0013717421124828531,0.0013938459874540342,0.0013938459874540342,0.9997712486102023,0.9986282578875172,1.0
10,0.02919886729531737,0.027619181878167323,0.00179731784874879,0.0014980150543100138,0.0007628192076192862,0.9999974429942975,,,0.03527459386315739,0.03519963496954963,0.001244296972210701,0.0012390143019895409,0.0012390143019895409,0.9997888643862802,0.9987557030277893,1.0
11,0.028031461379086724,0.027095353067147283,0.0016564729867482159,0.0014480114395146724,0.0007341581578333677,0.9999978329602414,,,0.03386427307392982,0.0343722293194092,0.0011467889908256881,0.0011814501483860533,0.0011814501483860533,0.9998179686602711,0.9988532110091743,1.0
12,0.02692225889149567,0.026476275994899583,0.0015279736718382697,0.001373806049948886,0.000700993190558096,0.9999981570173802,,,0.03252426673512047,0.03373550452311507,0.0010578279266572638,0.0011380842654291174,0.0011380842654291174,0.9998359745468304,0.9989421720733427,1.0
13,0.02577950947578353,0.025501105213507527,0.0014010130401982972,0.0012832785532064762,0.0006503063671103808,0.9999984512486255,,,0.03114373299321498,0.032311939512084845,0.0009699321047526673,0.0010440614350326297,0.0010440614350326297,0.9998537536202063,0.9990300678952473,1.0
14,0.027719254177944,0.026041428415322435,0.0016035277610743635,0.0013335245514875744,0.0006781559939103628,0.9999984674813919,,,0.03467918425807869,0.033701545579403164,0.0012026458208057728,0.0011357941744405888,0.0011357941744405888,0.9998069026553759,0.9987973541791942,1.0
15,0.026883544919352985,0.025492841099222546,0.0015082956259426844,0.0012821874544844169,0.0006498849473102101,0.9999986439457518,,,0.03363363969981562,0.03291569786899341,0.0011312217194570137,0.0010834431662028574,0.0010834431662028574,0.999820661825666,0.998868778280543,1.0
16,0.028575458048130928,0.026207169002940837,0.0016924995546053802,0.0013536225692925693,0.0006868157071487031,0.9999983366569951,,,0.036553848756307246,0.03428121911134232,0.0013361838588989846,0.0011752019837598616,0.0011752019837598616,0.9997878481603729,0.998663816141101,1.0
17,0.03501102473812814,0.03602727944144024,0.002528154447253505,0.0026100835904836746,0.0012979648639516225,0.9999980964047804,,,0.04548065525361659,0.04565964867499773,0.002068490002298322,0.0020848035171242216,0.0020848035171242216,0.9997446942882066,0.9979315099977016,1.0
18,0.033561346164202005,0.034506713022800124,0.0023231256599788807,0.002398501834902364,0.0011907132436378839,0.9999983917548868,,,0.043597467545103546,0.04378179428803474,0.0019007391763463568,0.0019168455110797917,0.0019168455110797917,0.9997627365444753,0.9980992608236536,1.0
19,0.032854278709092126,0.033527952306516354,0.002226269985832827,0.0022677449551260676,0.0011241235858680352,0.9999985230257676,,,0.04267895997763199,0.04272888554121208,0.0018214936247723133,0.0018257576595940032,0.0018257576595940032,0.9997738491807745,0.9981785063752276,1.0
20,0.032171350536301414,0.03307030111205594,0.002134678827867262,0.002209302363976911,0.001093644815642048,0.9999986415500457,,,0.041791810257736726,0.04208824021875479,0.0017465554046186688,0.0017714199647116085,0.0017714199647116085,0.9997835270043469,0.9982534445953813,1.0
