metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,0.028016590734026292,0.017818861349229703,0.0015698587127158557,0.0006350236395661444,0.0003175118197830722,0.9999947446421626,,,0.03962144258751637,0.025474090105633382,0.0015698587127158557,0.0006489292667099286,0.0006489292667099286,0.999632124951388,0.9984301412872841,1.0
3,0.024441185836892212,0.01576246547325791,0.0011947431302270011,0.0004969106355912952,0.0002484553177956476,0.9999969629971573,,,0.03456505649101418,0.022227711223719353,0.0011947431302270011,0.0004940711462450593,0.0004940711462450593,0.9997357807526908,0.998805256869773,1.0
4,0.03065696697424829,0.020328717094800917,0.0018796992481203006,0.0008265134774409021,0.00041325673872045105,0.9999962223666118,,,0.043355498476206,0.027108486658781274,0.0018796992481203006,0.0007348700489293224,0.0007348700489293224,0.9996335695613412,0.9981203007518797,1.0
5,0.028027592733560525,0.018608258470935547,0.0015710919088766694,0.000692534566642289,0.0003462672833211445,0.9999973670422142,,,0.0396370017644709,0.025426872103767963,0.0015710919088766694,0.0006465258249813734,0.0006465258249813734,0.9996866780234912,0.9984289080911233,1.0
6,0.025976216673306556,0.017460119477704046,0.001349527665317139,0.0006097115443514004,0.0003048557721757002,0.9999980587820216,,,0.03673591791853225,0.023687617811119815,0.001349527665317139,0.0005611032375656807,0.0005611032375656807,0.9997379355729166,0.9986504723346828,1.0
7,0.024296476537493124,0.01695777819698323,0.0011806375442739079,0.0005751324827561597,0.00028756624137807985,0.999998520708965,,,0.034360406637202474,0.023064443281875666,0.0011806375442739079,0.0005319685439028596,0.0005319685439028596,0.9997877217364806,0.9988193624557261,1.0
8,0.022833668863877152,0.016127771232543903,0.0010427528675703858,0.0005202100098585414,0.0002601050049292707,0.9999988474841155,,,0.03229168418603133,0.021959082304721465,0.0010427528675703858,0.00048220129566553136,0.00048220129566553136,0.9998161737164143,0.9989572471324296,1.0
9,0.023096650535641614,0.01645574403552149,0.001066910531931108,0.0005263453152765227,0.00027079151176260114,0.9999986700500593,,,0.0302406141084343,0.022091828489393058,0.0009144947416552355,0.0004880488860047588,0.0004880488860047588,0.9998098171584822,0.9990855052583447,1.0
10,0.021997574115588933,0.015530062934603692,0.0009677865339416562,0.0004698746484210913,0.00024118285475275143,0.9999989041404133,,,0.028801585282882153,0.02082933803373305,0.0008295313148071339,0.0004338613229235183,0.0004338613229235183,0.9998257583257019,0.9991704686851929,1.0
11,0.021118084582466567,0.015312660146507394,0.0008919469928644239,0.00045748731929094353,0.0002344775607624358,0.9999990712686748,,,0.02765006318046655,0.02046151611935081,0.0007645259938837921,0.000418673641902453,0.000418673641902453,0.9998498551024344,0.9992354740061162,1.0
12,0.020282443813144913,0.014814927563116627,0.0008227550540667606,0.0004290228393133074,0.00021948207870039273,0.9999992101503058,,,0.026555952586407236,0.019709365236425563,0.0007052186177715092,0.00038845907802282053,0.00038845907802282053,0.9998654622687485,0.9992947813822285,1.0
13,0.01942152976762969,0.014173325791446995,0.0007543916370298522,0.0003950963604559792,0.00020088316399049662,0.999999336249411,,,0.025428751506286047,0.018813035643374946,0.0006466214031684449,0.0003539303101188962,0.0003539303101188962,0.999879418642984,0.9993533785968316,1.0
14,0.022385317181932863,0.016209111223072194,0.001002204850671477,0.0005198819408222131,0.00026273528664192493,0.9999992337406959,,,0.030033054550017545,0.02206501547089102,0.0009019843656043296,0.0004868649077306601,0.0004868649077306601,0.9998319976475839,0.9990980156343957,1.0
15,0.021710421071621088,0.01576720225277927,0.0009426847662141779,0.0004924252881421701,0.00024860466688004775,0.9999993219728759,,,0.02912758640177315,0.021501747691304005,0.0008484162895927602,0.00046232515378049716,0.00046232515378049716,0.9998430367207625,0.9991515837104072,1.0
16,0.021104374419370853,0.015475497231524221,0.0008907892392659896,0.00047512915312245436,0.00023949101456291382,0.9999993951479982,,,0.02831448949459253,0.02099456838098112,0.0008017103153393907,0.0004407719015036922,0.0004407719015036922,0.9998566500755762,0.9991982896846606,1.0
17,0.02767864534724627,0.0241892031886711,0.0015322148165172755,0.0011670543654620654,0.0005851175509028161,0.999999104190485,,,0.03713479951293056,0.030691850245202223,0.001378993334865548,0.0009419896714739197,0.0009419896714739197,0.9998129997637303,0.9986210066651344,1.0
18,0.026532573805058433,0.022829341292967254,0.0014079549454417458,0.0010392491365115281,0.0005211788238707797,0.9999992431787702,,,0.035597183187684546,0.029209843671767752,0.0012671594508975714,0.0008532149673291106,0.0008532149673291106,0.9998250796932755,0.9987328405491024,1.0
19,0.02597358790067691,0.0222720910606602,0.00134925453686838,0.0009898473710721306,0.00049604604021434,0.9999993049533025,,,0.03484722489928778,0.028556441624978914,0.0012143290831815423,0.0008154703582808284,0.0008154703582808284,0.9998327543883945,0.9987856709168185,1.0
20,0.025433685774597994,0.0217709948871395,0.0012937447441619767,0.0009463583465388453,0.00047397621837585427,0.9999993607294333,,,0.03412287018622231,0.027987005796336607,0.0011643702697457792,0.0007832724934441788,0.0007832724934441788,0.9998389038171884,0.9988356297302542,1.0
