metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.041607266649954955,0.04957018519494275,0.028873456782411905,0.03359525344044006,0.0024572032602609216,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1,6.492643233296565e-05,7.733488376526201e-05,2.8968629081877737e-05,3.658593701045388e-05,5.980684246986585e-09,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,0.02814783133797696,0.018091459685618573,0.002961486374393857,0.0022112189805085125,0.0003273009135563621,0.9999947446421626,,,0.03962144258751637,0.024922239313961342,0.0015698587127158557,0.0006211180124223603,0.0006211180124223603,0.9996478910248999,0.9984301412872841,1.0
3,0.02444149898996115,0.015762918566900964,0.0012480944080281782,0.0005482179781386514,0.0002484696017467512,0.9999969629971573,,,0.03456505649101418,0.022355091700494795,0.0011947431302270011,0.0004997501249375312,0.0004997501249375312,0.9997327437498481,0.998805256869773,1.0
4,0.03311330892701628,0.02251742286581219,0.0021930525845123275,0.0009796086913465144,0.0005070343325178017,0.9999943335499176,,,0.043355498476206,0.030301104038507935,0.0018796992481203006,0.0009181569059524818,0.0009181569059524818,0.9995542392601883,0.9981203007518797,1.0
5,0.03030777953904947,0.020424107488814448,0.0021942637344455193,0.0010496200869100408,0.00041714416671464647,0.9999960505633213,,,0.0396370017644709,0.027176153302172927,0.0015710919088766694,0.0007385433083032045,0.0007385433083032045,0.9996471836567045,0.9984289080911233,1.0
6,0.028100400184162766,0.01930475941201566,0.0021967636368575853,0.001266739068759058,0.00037267373595580716,0.9999970881730325,,,0.03673591791853225,0.02565774446706335,0.001349527665317139,0.00065831985113712,0.00065831985113712,0.9997000818223378,0.9986504723346828,1.0
7,0.03314704159258499,0.03369019220159731,0.004047111095477582,0.0038510317993977502,0.0011350290505805682,0.9999963017724125,,,0.04208273180784325,0.04547055952952746,0.0017709563164108619,0.0020675717839283006,0.0020675717839283006,0.9997071003750743,0.9982290436835891,1.0
8,0.030919278992236215,0.030616206355607505,0.002089803296983881,0.0019114644634750761,0.0009373520916091414,0.9999971187102886,,,0.03954907459543875,0.04108210121339501,0.0015641293013555788,0.0016877390401076318,0.0016877390401076318,0.9997406839259763,0.9984358706986444,1.0
9,0.02960856840960606,0.028464802117600996,0.0020127657823420346,0.001752084617621458,0.0008102449595941821,0.9999973401001186,,,0.037037037037037035,0.03715784809700076,0.0013717421124828531,0.0013807056751997833,0.0013807056751997833,0.9997778983599057,0.9986282578875172,1.0
10,0.0295008453487323,0.02904819419355933,0.00518162999190978,0.005247391429396777,0.000843797585906734,0.9999974429942975,,,0.03527459386315739,0.035024652613051134,0.001244296972210701,0.0012267262906649095,0.0012267262906649095,0.999795074257272,0.9987557030277893,1.0
11,0.027650978952651083,0.02763756546028914,0.0015858636460951323,0.0014248704865665411,0.0007638350245717673,0.9999978329602414,,,0.03386427307392982,0.0343722293194092,0.0011467889908256881,0.0011814501483860533,0.0011814501483860533,0.9998179686602711,0.9988532110091743,1.0
12,0.02656795927063468,0.02698955238957222,0.0015217921936716238,0.0013939520825918324,0.0007284359381894636,0.9999981570173802,,,0.03252426673512047,0.033695208656489735,0.0010578279266572638,0.0011353670864043808,0.0011353670864043808,0.9998375542462188,0.9989421720733427,1.0
13,0.025429546466922782,0.026002873135419775,0.001358619496755608,0.0012740321694345135,0.0006761494112967354,0.9999984512486255,,,0.03114373299321498,0.032311939512084845,0.0009699321047526673,0.0010440614350326297,0.0010440614350326297,0.9998537536202063,0.9990300678952473,1.0
