metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.019196143001409486,0.02907215290319482,0.011536174758681596,0.016491107360038792,0.0008451900744267391,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1,0.0667179296695434,0.06393833774416559,0.04676575077725752,0.04638546775334171,0.004088111033486989,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,0.028052254335947293,0.017849018074176503,0.0021464857068032514,0.0011814736688927324,0.0003185874462122795,0.9999947446421626,,,0.03962144258751637,0.024922239313961342,0.0015698587127158557,0.0006211180124223603,0.0006211180124223603,0.9996478910248999,0.9984301412872841,1.0
3,0.02444335762569471,0.015764866844753485,0.0012814720345029802,0.0005656632114253629,0.00024853102663280774,0.9999969629971573,,,0.03456505649101418,0.022355091700494795,0.0011947431302270011,0.0004997501249375312,0.0004997501249375312,0.9997327437498481,0.998805256869773,1.0
4,0.03110453845073133,0.02106052666474895,0.005018606213758041,0.0039503766303941035,0.00044354578339660155,0.9999962223666118,,,0.043355498476206,0.02983706500978613,0.0018796992481203006,0.0008902504483982039,0.0008902504483982039,0.9995674609770471,0.9981203007518797,1.0
5,0.028188486668467513,0.018615468808683634,0.002416741922095544,0.0013582725348470148,0.00034653567896707324,0.9999973670422142,,,0.0396370017644709,0.025474090105633382,0.0015710919088766694,0.0006489292667099286,0.0006489292667099286,0.9996840450657054,0.9984289080911233,1.0
6,0.025992309557501436,0.017488050292973484,0.0017878438501901454,0.0009722276590933474,0.0003058319030495699,0.9999980587820216,,,0.03673591791853225,0.02565774446706335,0.001349527665317139,0.00065831985113712,0.00065831985113712,0.9997000818223378,0.9986504723346828,1.0
7,0.024709350294997247,0.01710548365711921,0.0023330536768596173,0.0015207829903359268,0.0002925975711439724,0.999998520708965,,,0.034360406637202474,0.0228874303561587,0.0011806375442739079,0.0005238344683080147,0.0005238344683080147,0.9997906803185506,0.9988193624557261,1.0
8,0.022833669839935847,0.01612781244204208,0.0010456330523448386,0.0005229145199669279,0.0002601063341656873,0.9999988474841155,,,0.03229168418603133,0.023626652832162906,0.0010427528675703858,0.0005582187240515514,0.0005582187240515514,0.9997925471407809,0.9989572471324296,1.0
9,0.023140201627649876,0.016468667099665775,0.0013108889874194369,0.0007255008753650186,0.0002712169960396139,0.9999986700500593,,,0.0302406141084343,0.021792397154753486,0.0009144947416552355,0.0004749085737505079,0.0004749085737505079,0.9998164669081856,0.9990855052583447,1.0
10,0.02199817319898863,0.015530993007220542,0.0010368164470405835,0.0005368420786782242,0.00024121174379033335,0.9999989041404133,,,0.028801585282882153,0.020532250524452674,0.0008295313148071339,0.00042157331159888706,0.00042157331159888706,0.9998319681966936,0.9991704686851929,1.0
11,0.034927356746310007,0.03234521747485746,0.01959195464450646,0.019301196545114963,0.0010462130934958246,0.9999990712686748,,,0.02765006318046655,0.020271398078304373,0.0007645259938837921,0.0004109295800490822,0.0004109295800490822,0.999853570027735,0.9992354740061162,1.0
12,0.02028244954180343,0.014814939033475446,0.0008286143563005258,0.0004348299158114244,0.00021948241856559436,0.9999992101503058,,,0.026555952586407236,0.019640313108453336,0.0007052186177715092,0.000385741898998084,0.000385741898998084,0.9998670419681369,0.9992947813822285,1.0
13,0.019421531051444105,0.014173255628338068,0.0007575264131644032,0.0003981121276133141,0.00020088117510621672,0.999999336249411,,,0.025428751506286047,0.018813035643374946,0.0006466214031684449,0.0003539303101188962,0.0003539303101188962,0.999879418642984,0.9993533785968316,1.0
14,0.022399664823985376,0.016205717157328024,0.001277517421818775,0.0007731983789988755,0.00026262526858331585,0.9999992337406959,,,0.030033054550017545,0.02206501547089102,0.0009019843656043296,0.0004868649077306601,0.0004868649077306601,0.9998319976475839,0.9990980156343957,1.0
15,0.021710957217409392,0.015770104826225657,0.0010017086521355674,0.0005425780898186927,0.00024869620623014577,0.9999993219728759,,,0.02912758640177315,0.021501747691304005,0.0008484162895927602,0.00046232515378049716,0.00046232515378049716,0.9998430367207625,0.9991515837104072,1.0
16,0.021166622175939766,0.015562121034260983,0.001498960359395954,0.0010747547842668483,0.0002421796110849881,0.9999993951479982,,,0.02831448949459253,0.020900118078735024,0.0008017103153393907,0.0004368149357050666,0.0004368149357050666,0.9998580109925803,0.9991982896846606,1.0
17,0.027678645348793458,0.024189204435933143,0.0015323395742455953,0.0011671718756924123,0.0005851176112433677,0.999999104190485,,,0.03713479951293056,0.034371367865259954,0.001378993334865548,0.0011813909289290247,0.0011813909289290247,0.9998040416685796,0.9986210066651344,1.0
18,0.029335682518022134,0.025808603035762975,0.008703403926871436,0.008025505048638824,0.0006660839906575939,0.9999992431787702,,,0.035597183187684546,0.03226211969035872,0.0012671594508975714,0.001040844366915032,0.001040844366915032,0.999816849262402,0.9987328405491024,1.0
19,0.025975312578439644,0.02226899629625755,0.0014759149841978847,0.0011029063192068648,0.0004959081960427324,0.9999993049533025,,,0.03484722489928778,0.03129547544269876,0.0012143290831815423,0.0009794067831845612,0.0009794067831845612,0.9998272808956511,0.9987856709168185,1.0
20,0.025433685784100747,0.021770999145036146,0.0012940390585278185,0.0009466319106486824,0.0004739764037731646,0.9999993607294333,,,0.03412287018622231,0.03114034360154068,0.0011643702697457792,0.0009697209996220156,0.0009697209996220156,0.9998281161263751,0.9988356297302542,1.0
