metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.4305169306615094,0.5843619556810585,0.15948275862068967,0.24107981942298481,0.34147889524739145,0.9771180707549046,,,0.4305169306615094,0.5843619556810585,0.15948275862068967,0.24107981942298481,0.34147889524739145,0.9771180707549046,0.853448275862069,0.9870689655172413
1,0.6471200059181423,0.7149226891388164,0.3135011441647597,0.363873930291912,0.5111144514454767,0.9626430696876149,,,0.6471200059181423,0.7149226891388164,0.3135011441647597,0.363873930291912,0.5111144514454767,0.9626430696876149,0.7254004576659039,0.9679633867276888
2,0.6641764059895198,0.7822986086010708,0.3249607535321821,0.40472356172988083,0.6119911130191713,0.9620720824880966,,,0.6641764059895198,0.7822986086010708,0.3249607535321821,0.40472356172988083,0.6119911130191713,0.9620720824880966,0.7158555729984302,0.967032967032967
3,0.6373481499754905,0.7309095274818486,0.3058542413381123,0.36772777750971264,0.5342287373637392,0.9639932942977235,,,0.6373481499754905,0.7309095274818486,0.3058542413381123,0.36772777750971264,0.5342287373637392,0.9639932942977235,0.7311827956989247,0.9689366786140979
4,0.6062022789527591,0.7238749533273571,0.28477443609022557,0.3664347854971462,0.5239949480546834,0.9638329379410387,,,0.6062022789527591,0.7238749533273571,0.28477443609022557,0.3664347854971462,0.5239949480546834,0.9638329379410387,0.7462406015037594,0.9736842105263158
5,0.6134138180510464,0.7267679144097051,0.28515318146111546,0.35039023015908477,0.5281916014154325,0.9646630735569417,,,0.6134138180510464,0.7267679144097051,0.28515318146111546,0.35039023015908477,0.5281916014154325,0.9646630735569417,0.7478397486252946,0.9717203456402199
6,0.632028629837188,0.7532400644473812,0.3117408906882591,0.3924807839487151,0.567370594688695,0.9631527709430728,,,0.632028629837188,0.7532400644473812,0.3117408906882591,0.3924807839487151,0.567370594688695,0.9631527709430728,0.7206477732793523,0.9723346828609987
7,0.6358996453166281,0.7400128756602105,0.3051948051948052,0.3726076894008251,0.5476190561428941,0.9650798558282957,,,0.6358996453166281,0.7400128756602105,0.3051948051948052,0.3726076894008251,0.5476190561428941,0.9650798558282957,0.7272727272727273,0.9752066115702479
8,0.6315480756408594,0.7225201224883105,0.3237747653806048,0.3883407910313513,0.5220353274005233,0.9648125375287985,,,0.6315480756408594,0.7225201224883105,0.3237747653806048,0.3883407910313513,0.5220353274005233,0.9648125375287985,0.7049009384775808,0.9749739311783108
9,0.6130720502684017,0.6878363156950108,0.30086877000457246,0.3543351154009549,0.4731187971888865,0.966785386864705,,,0.6130720502684017,0.6878363156950108,0.30086877000457246,0.3543351154009549,0.4731187971888865,0.966785386864705,0.7274805669867398,0.9762231367169639
10,0.6092743744621075,0.7021169874824841,0.2932393197843219,0.3541897902496966,0.4929682641114787,0.9669952662518716,,,0.6092743744621075,0.7021169874824841,0.2932393197843219,0.3541897902496966,0.4929682641114787,0.9669952662518716,0.7349647449191207,0.9763583575279967
11,0.6311244273623512,0.7101091879629788,0.3012232415902141,0.357482080991176,0.5042550588294412,0.9670904054933839,,,0.6311244273623512,0.7101091879629788,0.3012232415902141,0.357482080991176,0.5042550588294412,0.9670904054933839,0.7282110091743119,0.9785932721712538
12,0.6507563138163096,0.7402482145098583,0.30077574047954864,0.3551776431113335,0.5479674190850332,0.9667768155945817,,,0.6507563138163096,0.7402482145098583,0.30077574047954864,0.3551776431113335,0.5479674190850332,0.9667768155945817,0.735543018335684,0.9742595204513399
13,0.6749405740746139,0.7496954353508855,0.30294212738441645,0.35298751494232383,0.5620432457859537,0.9666872429349281,,,0.6749405740746139,0.7496954353508855,0.30294212738441645,0.35298751494232383,0.5620432457859537,0.9666872429349281,0.7374717103136114,0.972518590365341
14,0.6679682623590298,0.7504716710543122,0.29825616355983164,0.3515838425497382,0.5632077290550519,0.9658882429961505,,,0.6679682623590298,0.7504716710543122,0.29825616355983164,0.3515838425497382,0.5632077290550519,0.9658882429961505,0.740829825616356,0.9732411304870715
15,0.670356493258847,0.7562490040091948,0.2977941176470588,0.34923032535984866,0.5719125560648992,0.9659643944226167,,,0.670356493258847,0.7562490040091948,0.2977941176470588,0.34923032535984866,0.5719125560648992,0.9659643944226167,0.7423642533936652,0.9725678733031674
16,0.6684458709692359,0.7419905146303231,0.29716729021913413,0.343817756575408,0.5505499238013717,0.9662716378242989,,,0.6684458709692359,0.7419905146303231,0.29716729021913413,0.343817756575408,0.5505499238013717,0.9662716378242989,0.743452699091395,0.9716729021913415
17,0.6513603324532694,0.7254674014351185,0.29096759365663066,0.33844815742425477,0.5263029505450233,0.9665766751357991,,,0.6513603324532694,0.7254674014351185,0.29096759365663066,0.33844815742425477,0.5263029505450233,0.9665766751357991,0.7464950586072168,0.9728797977476442
18,0.6505622618933478,0.7268244770653883,0.2939809926082365,0.3437781881115018,0.5282738204613753,0.9662095403370579,,,0.6505622618933478,0.7268244770653883,0.2939809926082365,0.3437781881115018,0.5282738204613753,0.9662095403370579,0.7434002111932418,0.9725448785638859
19,0.6665148582469217,0.7444803734773519,0.3114754098360656,0.3652423322521232,0.5542510264929773,0.9651519224383489,,,0.6665148582469217,0.7444803734773519,0.3114754098360656,0.3652423322521232,0.5542510264929773,0.9651519224383489,0.7281926735478648,0.9704513256425825
20,0.6495307237315419,0.7272854795709992,0.29963128274791384,0.3534865740478528,0.5289441687948183,0.9655740813502162,,,0.6495307237315419,0.7272854795709992,0.29963128274791384,0.3534865740478528,0.5289441687948183,0.9655740813502162,0.7376285658839511,0.971861051814477
