metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.3939192985791677,0.5379012027670919,0.12931034482758622,0.19497727545687257,0.2893377039382841,0.9801026702216562,,,0.3939192985791677,0.5379012027670919,0.12931034482758622,0.19497727545687257,0.2893377039382841,0.9801026702216562,0.8836206896551724,0.9870689655172413
1,0.6435741161828954,0.7122427870727032,0.2906178489702517,0.32204626625970384,0.507289787737092,0.9636460898928997,,,0.6435741161828954,0.7122427870727032,0.2906178489702517,0.32204626625970384,0.507289787737092,0.9636460898928997,0.7482837528604119,0.9702517162471396
2,0.6099643554451831,0.7083480877319512,0.2778649921507064,0.32638651855919504,0.5017570133935121,0.963895691657645,,,0.6099643554451831,0.7083480877319512,0.2778649921507064,0.32638651855919504,0.5017570133935121,0.963895691657645,0.7519623233908949,0.978021978021978
3,0.5763146624918598,0.6601017815103245,0.25806451612903225,0.2989863318011022,0.4357343619531042,0.9679565830073616,,,0.5763146624918598,0.6601017815103245,0.25806451612903225,0.2989863318011022,0.4357343619531042,0.9679565830073616,0.7658303464755077,0.982078853046595
4,0.5718983031736782,0.6853852263686804,0.2556390977443609,0.32032035112860646,0.46975290852444723,0.9657274210852386,,,0.5718983031736782,0.6853852263686804,0.2556390977443609,0.32032035112860646,0.46975290852444723,0.9657274210852386,0.7697368421052632,0.9793233082706767
5,0.5865740601526721,0.7016988534461458,0.2608012568735271,0.32057392854257766,0.49238128092763567,0.9660835542823742,,,0.5865740601526721,0.7016988534461458,0.2608012568735271,0.32057392854257766,0.49238128092763567,0.9660835542823742,0.7674783974862529,0.9772191673212883
6,0.586625565975325,0.7074698758572163,0.26855600539811064,0.3389455285415095,0.5005136252454251,0.9663887813130593,,,0.586625565975325,0.7074698758572163,0.26855600539811064,0.3389455285415095,0.5005136252454251,0.9663887813130593,0.757085020242915,0.979757085020243
7,0.583115436899835,0.6712966903540104,0.2715466351829988,0.3261097052349621,0.45063924648024806,0.9681619586996736,,,0.583115436899835,0.6712966903540104,0.2715466351829988,0.3261097052349621,0.45063924648024806,0.9681619586996736,0.7520661157024794,0.9811097992916175
8,0.5799032676157717,0.6647805229417055,0.26955161626694474,0.3219036364900976,0.4419331436826475,0.9689368156216613,,,0.5799032676157717,0.6647805229417055,0.26955161626694474,0.3219036364900976,0.4419331436826475,0.9689368156216613,0.7544316996871742,0.9801876955161627
9,0.5737753105492469,0.6498467462852832,0.267946959304984,0.31410115105659153,0.4223007936575692,0.9697059569344476,,,0.5737753105492469,0.6498467462852832,0.267946959304984,0.31410115105659153,0.4223007936575692,0.9697059569344476,0.7540009144947416,0.9821673525377229
10,0.570242295348562,0.6489343586685287,0.2646204894234757,0.3148919267602788,0.4211158018605346,0.9693305430313011,,,0.570242295348562,0.6489343586685287,0.2646204894234757,0.3148919267602788,0.4211158018605346,0.9693305430313011,0.7581916217337205,0.9805060141020323
11,0.6000764477291757,0.671752545642599,0.27446483180428133,0.32201949679219627,0.45125148257731207,0.9692119374171301,,,0.6000764477291757,0.671752545642599,0.27446483180428133,0.32201949679219627,0.45125148257731207,0.9692119374171301,0.7522935779816514,0.9801223241590215
12,0.6210914456994361,0.698562092712248,0.2764456981664316,0.32290649664568993,0.48798899737451545,0.9691208262038429,,,0.6210914456994361,0.698562092712248,0.2764456981664316,0.32290649664568993,0.48798899737451545,0.9691208262038429,0.7563469675599436,0.9767277856135402
13,0.6445574074787488,0.7134405123763559,0.27449078564500484,0.31570669439613747,0.5089973646998371,0.9688327060890266,,,0.6445574074787488,0.7134405123763559,0.27449078564500484,0.31570669439613747,0.5089973646998371,0.9688327060890266,0.7610733915292596,0.9763983187843518
14,0.6494828878789839,0.7235283031845625,0.2787131689717378,0.32039829963716726,0.5234932055091323,0.9672661687896839,,,0.6494828878789839,0.7235283031845625,0.2787131689717378,0.32039829963716726,0.5234932055091323,0.9672661687896839,0.7579675285628382,0.9759470835838846
15,0.6385964530626939,0.7085108573229837,0.27319004524886875,0.31141096162470033,0.5019876349445493,0.9676138649088587,,,0.6385964530626939,0.7085108573229837,0.27319004524886875,0.31141096162470033,0.5019876349445493,0.9676138649088587,0.7621606334841629,0.9756787330316742
16,0.6435969206410835,0.7089405183693904,0.2757883484767504,0.3139176682337093,0.50259665858586,0.967902923673121,,,0.6435969206410835,0.7089405183693904,0.2757883484767504,0.3139176682337093,0.50259665858586,0.967902923673121,0.7616247995724211,0.9743452699091395
17,0.6318374557143445,0.7010102185545154,0.2792461503102735,0.3240504678088502,0.49141532651784947,0.9678191629331939,,,0.6318374557143445,0.7010102185545154,0.2792461503102735,0.3240504678088502,0.49141532651784947,0.9678191629331939,0.7533900252815444,0.9774764421971961
18,0.6270899586677174,0.6995360960254589,0.2787750791974657,0.3252189564439474,0.48935074964254,0.9675234765945466,,,0.6270899586677174,0.6995360960254589,0.2787750791974657,0.3252189564439474,0.48935074964254,0.9675234765945466,0.7533262935586061,0.9771911298838437
19,0.627895035553667,0.7012631485031902,0.28374822910342035,0.3324461732181486,0.4917700034486073,0.9675930133210913,,,0.627895035553667,0.7012631485031902,0.28374822910342035,0.3324461732181486,0.4917700034486073,0.9675930133210913,0.7474195506982392,0.9777373001416717
20,0.6253273933892209,0.6983608443194721,0.2835241606830972,0.3290530341510352,0.487707868878606,0.967403433985685,,,0.6253273933892209,0.6983608443194721,0.2835241606830972,0.3290530341510352,0.487707868878606,0.967403433985685,0.746749466330293,0.9784591500097031
