metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.40471360670018974,0.46160202535673706,0.15517241379310345,0.20929571147695783,0.21307642981344174,0.9786302678180588,,,0.40471360670018974,0.46160202535673706,0.15517241379310345,0.20929571147695783,0.21307642981344174,0.9786302678180588,0.8491379310344828,0.9956896551724138
1,0.6435741161828954,0.6627161291825379,0.3318077803203661,0.35560858122554584,0.43919266787868627,0.9590099076106944,,,0.6435741161828954,0.6627161291825379,0.3318077803203661,0.35560858122554584,0.43919266787868627,0.9590099076106944,0.7070938215102975,0.9633867276887872
2,0.6688869359794813,0.7262169817068345,0.33124018838304553,0.36488680509368104,0.5273911045193848,0.9560021441859976,,,0.6688869359794813,0.7262169817068345,0.33124018838304553,0.36488680509368104,0.5273911045193848,0.9560021441859976,0.7127158555729984,0.9654631083202512
3,0.581474252099129,0.6700652830691248,0.2616487455197133,0.3061564181158267,0.4489874835745064,0.9674888845695959,,,0.581474252099129,0.6700652830691248,0.2616487455197133,0.3061564181158267,0.4489874835745064,0.9674888845695959,0.7634408602150538,0.980884109916368
4,0.5759921156519706,0.6761991421203248,0.2640977443609023,0.31886155097945307,0.4572452798042633,0.9654743196482268,,,0.5759921156519706,0.6761991421203248,0.2640977443609023,0.31886155097945307,0.4572452798042633,0.9654743196482268,0.7593984962406015,0.981203007518797
5,0.6082697958475791,0.7212422790397186,0.2835820895522388,0.34369358384363335,0.5201904250744073,0.9639811374904226,,,0.6082697958475791,0.7212422790397186,0.2835820895522388,0.34369358384363335,0.5201904250744073,0.9639811374904226,0.746268656716418,0.9756480754124116
6,0.5980174172288311,0.7125882117927012,0.28205128205128205,0.34442645634562796,0.5077819595859195,0.964658185485319,,,0.5980174172288311,0.7125882117927012,0.28205128205128205,0.34442645634562796,0.5077819595859195,0.964658185485319,0.7435897435897436,0.979757085020243
7,0.6010616345665525,0.6876451207326745,0.28807556080283353,0.3429012221524734,0.4728558120674544,0.9663261585252652,,,0.6010616345665525,0.6876451207326745,0.28807556080283353,0.3429012221524734,0.4728558120674544,0.9663261585252652,0.7373081463990555,0.9799291617473436
8,0.5976143046671968,0.6761486989475388,0.2841501564129301,0.33047671596010664,0.4571770630884495,0.9670743499522282,,,0.5976143046671968,0.6761486989475388,0.2841501564129301,0.33047671596010664,0.4571770630884495,0.9670743499522282,0.7424400417101147,0.9781021897810219
9,0.5871665160787217,0.6601308960328818,0.27892089620484684,0.3265211382303557,0.4357727998971753,0.9684061525257522,,,0.5871665160787217,0.6601308960328818,0.27892089620484684,0.3265211382303557,0.4357727998971753,0.9684061525257522,0.7453132144490169,0.9798811156835848
10,0.5899054047570617,0.6640656685924553,0.2807963500622149,0.3285026594192716,0.44098321220314474,0.96757789826551,,,0.5899054047570617,0.6640656685924553,0.2807963500622149,0.3285026594192716,0.44098321220314474,0.96757789826551,0.7449191206968063,0.978017420157611
11,0.6164165952991895,0.681142548096662,0.286697247706422,0.32834107433756626,0.4639551708276135,0.9672074256403526,,,0.6164165952991895,0.681142548096662,0.286697247706422,0.32834107433756626,0.4639551708276135,0.9672074256403526,0.7435015290519877,0.9770642201834863
12,0.6323440173485044,0.7136165617073642,0.29760225669957685,0.34967315629952767,0.5092485971430403,0.967655655021035,,,0.6323440173485044,0.7136165617073642,0.29760225669957685,0.34967315629952767,0.5092485971430403,0.967655655021035,0.7323695345557123,0.9791960507757405
13,0.6586979288915569,0.726227245265845,0.29162625282896865,0.33361791850413935,0.5274060117664178,0.9672226684101182,,,0.6586979288915569,0.726227245265845,0.29162625282896865,0.33361791850413935,0.5274060117664178,0.9672226684101182,0.74426123504688,0.9763983187843518
14,0.660727200100386,0.7364015430685837,0.29585087191822007,0.34083663753848775,0.5422872326337912,0.9661799962261729,,,0.660727200100386,0.7364015430685837,0.29585087191822007,0.34083663753848775,0.5422872326337912,0.9661799962261729,0.7402285027059531,0.976247745039086
15,0.6491379595261223,0.7226746338913596,0.2850678733031674,0.3262481004850943,0.5222586264700105,0.9669490593136433,,,0.6491379595261223,0.7226746338913596,0.2850678733031674,0.3262481004850943,0.5222586264700105,0.9669490593136433,0.7505656108597285,0.9759615384615384
16,0.646290239978775,0.710947498147556,0.28193479422768575,0.32083934229535643,0.5054463451222692,0.9677491400516665,,,0.646290239978775,0.710947498147556,0.28193479422768575,0.32083934229535643,0.5054463451222692,0.9677491400516665,0.7549438802779262,0.9743452699091395
17,0.6376309289572292,0.7085656757746359,0.287979774764422,0.33521587420827176,0.5020653168859665,0.9669532510606944,,,0.6376309289572292,0.7085656757746359,0.287979774764422,0.33521587420827176,0.5020653168859665,0.9669532510606944,0.7439669041599632,0.9781659388646288
18,0.6369475783210413,0.7087624392250468,0.2891235480464625,0.3374485716346923,0.5023441952562382,0.9665937217138065,,,0.6369475783210413,0.7087624392250468,0.2891235480464625,0.3374485716346923,0.5023441952562382,0.9665937217138065,0.7440337909186906,0.9761351636747624
19,0.6417631552053086,0.7152021905396365,0.29366524994940296,0.34386314180876015,0.5115141733526946,0.9665165597482124,,,0.6417631552053086,0.7152021905396365,0.29366524994940296,0.34386314180876015,0.5115141733526946,0.9665165597482124,0.7403359643796802,0.9757134183363692
20,0.6528089450420813,0.7225800707352932,0.30972249175237726,0.35762182896532907,0.5221219586238213,0.9655000857821192,,,0.6528089450420813,0.7225800707352932,0.30972249175237726,0.35762182896532907,0.5221219586238213,0.9655000857821192,0.7250145546283718,0.9741897923539685
