metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.42073261521918925,0.44930785137507356,0.32198533583198563,0.3499442277590078,0.20187754530728522,0.9871065303036333,,,0.4688577462374878,0.5041932580920826,0.2025862068965517,0.24092581735092003,0.2542108415055094,0.9723029169485455,0.8060344827586207,0.9913793103448276
1,0.6529115678182548,0.7456082216589629,0.4670762886956787,0.5046290029763761,0.5559316202054412,0.9752142562605178,,,0.6731190421101297,0.7103916466821756,0.3707093821510298,0.38846878627162995,0.5046562916758129,0.9573493519375007,0.6613272311212814,0.9748283752860412
2,0.6374410644827871,0.7441217223096425,0.44427413501185115,0.48912103495991394,0.5537171376130686,0.9752420092284083,,,0.6437722424561235,0.6841539677037486,0.32967032967032966,0.34901268637655963,0.46806665152478183,0.9598858536277736,0.7048665620094191,0.9717425431711146
3,0.6049931507946229,0.7113688137431473,0.41768782415240946,0.4663350906387369,0.5060455891663327,0.9788290531839938,,,0.5986843400892496,0.6589873371816867,0.2915173237753883,0.322680834009268,0.43426431056580994,0.9650957263295998,0.7323775388291517,0.982078853046595
4,0.5998769467943662,0.7258547722735569,0.4192034826439057,0.4757585443746875,0.5268651504322971,0.9769451034316021,,,0.6038722167274616,0.6703758881169846,0.3007518796992481,0.33337453093615194,0.4494038313686358,0.9619988969310507,0.7236842105263158,0.9802631578947368
5,0.6114700476452758,0.7294850070040543,0.42289529992644287,0.4786879794686717,0.5321483754437051,0.9780463979821011,,,0.5938940423533581,0.6610501914539568,0.2914375490966222,0.32845356632684175,0.436987355621313,0.964645959331334,0.7329143754909663,0.9795758051846033
6,0.6100314164074595,0.7541830290612663,0.42846991535096207,0.49819876018598525,0.5687920413240269,0.9794483252627196,,,0.6086422135619207,0.696368898125847,0.31781376518218624,0.3705841755691805,0.48492964227700636,0.9636438990916071,0.7010796221322537,0.9844804318488529
7,0.6159145223546827,0.7491959326884504,0.4278252261081756,0.4936114776075724,0.5612945455569172,0.980736672142509,,,0.6098367211363063,0.6955570999298644,0.30814639905548996,0.3569484118061858,0.48379967926284334,0.9674134374359744,0.7131050767414404,0.9834710743801653
8,0.6193204924405007,0.7517530273873307,0.42865298820030423,0.4894360864487657,0.5651326141860168,0.9807207142832446,,,0.6075644123217855,0.6890119838509324,0.3096976016684046,0.35444895399896464,0.4747375138901976,0.9676148799020823,0.7106360792492179,0.983837330552659
