metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.4254814716983816,0.5809829739793257,0.13793103448275862,0.22385711607486591,0.3375412160538619,0.9788292411158422,,,0.4254814716983816,0.5809829739793257,0.13793103448275862,0.22385711607486591,0.3375412160538619,0.9788292411158422,0.8836206896551724,0.978448275862069
1,0.593635196055139,0.6641774397167937,0.2654462242562929,0.31151576436087647,0.44113167142875515,0.9673795539903487,,,0.593635196055139,0.6641774397167937,0.2654462242562929,0.31151576436087647,0.44113167142875515,0.9673795539903487,0.7643020594965675,0.977116704805492
2,0.5850035891958754,0.6663533353270449,0.2668759811616955,0.31832414706329526,0.44402676750147707,0.9660766651601308,,,0.5850035891958754,0.6663533353270449,0.2668759811616955,0.31832414706329526,0.44402676750147707,0.9660766651601308,0.7598116169544741,0.9795918367346939
3,0.5700615154715711,0.6594683848156745,0.24850657108721624,0.29752856419102885,0.43489855057139454,0.9695601205082728,,,0.5700615154715711,0.6594683848156745,0.24850657108721624,0.29752856419102885,0.43489855057139454,0.9695601205082728,0.7765830346475507,0.980884109916368
4,0.5686020318963798,0.6736848271543723,0.25375939849624063,0.3109076380696676,0.45385124633801643,0.9653458801130268,,,0.5686020318963798,0.6736848271543723,0.25375939849624063,0.3109076380696676,0.45385124633801643,0.9653458801130268,0.7706766917293233,0.9802631578947368
5,0.5640444233812844,0.6615679746314764,0.2474469756480754,0.30119082427235666,0.4376721850579938,0.9674118814853041,,,0.5640444233812844,0.6615679746314764,0.2474469756480754,0.30119082427235666,0.4376721850579938,0.9674118814853041,0.7784760408483896,0.9787902592301649
6,0.5779343363791356,0.6927418531082281,0.25708502024291496,0.3211680211222854,0.47989127504782186,0.9673564784752897,,,0.5779343363791356,0.6927418531082281,0.25708502024291496,0.3211680211222854,0.47989127504782186,0.9673564784752897,0.7685560053981106,0.9804318488529015
7,0.5739319427008923,0.6666767589596304,0.256198347107438,0.3178040862001496,0.4444579009369171,0.9695939124215328,,,0.5739319427008923,0.6666767589596304,0.256198347107438,0.3178040862001496,0.4444579009369171,0.9695939124215328,0.769185360094451,0.9799291617473436
8,0.5794535558245063,0.6630620130241219,0.2638164754953076,0.3166863636497843,0.43965123311560084,0.9692917905141027,,,0.5794535558245063,0.6630620130241219,0.2638164754953076,0.3166863636497843,0.43965123311560084,0.9692917905141027,0.762252346193952,0.9786235662148071
9,0.5741736273695548,0.6472472372219346,0.2629172382258802,0.30805018824163877,0.4189289860914272,0.9694816387111189,,,0.5741736273695548,0.6472472372219346,0.2629172382258802,0.30805018824163877,0.4189289860914272,0.9694816387111189,0.7613168724279835,0.9803383630544125
