metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.5413902920037097,0.5828876841829185,0.22413793103448276,0.27571163355255,0.3397580523721257,0.9654582355047953,,,0.5413902920037097,0.5828876841829185,0.22413793103448276,0.27571163355255,0.3397580523721257,0.9654582355047953,0.8103448275862069,0.9655172413793104
1,0.6181836537375311,0.6974263773608388,0.2585812356979405,0.3010448828482806,0.48640355183866313,0.968794926946695,,,0.6181836537375311,0.6974263773608388,0.2585812356979405,0.3010448828482806,0.48640355183866313,0.968794926946695,0.7871853546910755,0.9633867276887872
2,0.5447047794019222,0.5766257023689788,0.2401883830455259,0.27105055470549055,0.3324972006325182,0.9702914621456575,,,0.5447047794019222,0.5766257023689788,0.2401883830455259,0.27105055470549055,0.3324972006325182,0.9702914621456575,0.7864992150706437,0.9748822605965463
3,0.5551970169215306,0.6297947048817552,0.23178016726403824,0.27212232808257003,0.396641370297097,0.9718773536772031,,,0.5551970169215306,0.6297947048817552,0.23178016726403824,0.27212232808257003,0.396641370297097,0.9718773536772031,0.7968936678614098,0.977299880525687
4,0.4629100498862757,0.502931566884702,0.18421052631578946,0.21811479189168545,0.25294016096910144,0.9759421417670258,,,0.4629100498862757,0.502931566884702,0.18421052631578946,0.21811479189168545,0.25294016096910144,0.9759421417670258,0.8298872180451128,0.9868421052631579
5,0.45968669955080493,0.4986797010029046,0.17989002356637862,0.2125390715806466,0.2486814441923463,0.9767075389480281,,,0.45968669955080493,0.4986797010029046,0.17989002356637862,0.2125390715806466,0.2486814441923463,0.9767075389480281,0.835820895522388,0.9842890809112333
6,0.45216528094884345,0.4925393057393231,0.17071524966261808,0.20119955411946794,0.24259496769817437,0.9788611068242548,,,0.45216528094884345,0.4925393057393231,0.17071524966261808,0.20119955411946794,0.24259496769817437,0.9788611068242548,0.8454790823211876,0.9844804318488529
7,0.47858508500489033,0.5433274291956678,0.18890200708382526,0.2357715584885181,0.29520469531637344,0.9788779429570584,,,0.47858508500489033,0.5433274291956678,0.18890200708382526,0.2357715584885181,0.29520469531637344,0.9788779429570584,0.8299881936245572,0.9822904368358913
8,0.4718344383640064,0.5155566464967981,0.1777893639207508,0.20917191317707187,0.26579865574702444,0.979961206315326,,,0.4718344383640064,0.5155566464967981,0.1777893639207508,0.20917191317707187,0.26579865574702444,0.979961206315326,0.8420229405630866,0.9822732012513035
9,0.45108212114679286,0.5007694154459845,0.17146776406035666,0.20804730655950474,0.25077000744611305,0.9806855803280898,,,0.45108212114679286,0.5007694154459845,0.17146776406035666,0.20804730655950474,0.25077000744611305,0.9806855803280898,0.8440786465477823,0.9849108367626886
10,0.4339396368865368,0.4781740598885123,0.16424720033181253,0.19894297587384982,0.22865043155026257,0.981181899175804,,,0.4339396368865368,0.4781740598885123,0.16424720033181253,0.19894297587384982,0.22865043155026257,0.981181899175804,0.8477810037328909,0.9879717959352966
11,0.4868295986317754,0.5194034353540224,0.17813455657492355,0.20834746885642771,0.2697799286575601,0.9795775077371058,,,0.4868295986317754,0.5194034353540224,0.17813455657492355,0.20834746885642771,0.2697799286575601,0.9795775077371058,0.841743119266055,0.9843272171253823
12,0.45106049619433575,0.48455401964910905,0.1667842031029619,0.19311807389158106,0.23479259795810917,0.9813492791700049,,,0.45106049619433575,0.48455401964910905,0.1667842031029619,0.19311807389158106,0.23479259795810917,0.9813492791700049,0.847672778561354,0.9880112834978844
13,0.46088516025234977,0.49060775020352976,0.16909149692854833,0.19386300473205617,0.24069596455976908,0.9810877544653821,,,0.46088516025234977,0.49060775020352976,0.16909149692854833,0.19386300473205617,0.24069596455976908,0.9810877544653821,0.8483672809569996,0.98545101842871
14,0.4620277407180489,0.49753650391415266,0.17077570655441973,0.19672929079706608,0.24754257272711763,0.9804523420236717,,,0.4620277407180489,0.49753650391415266,0.17077570655441973,0.19672929079706608,0.24754257272711763,0.9804523420236717,0.8460613349368611,0.9858689116055321
15,0.46755598304916157,0.5065080532228916,0.1710972850678733,0.19850765533770143,0.2565504079796436,0.9801497389002298,,,0.46755598304916157,0.5065080532228916,0.1710972850678733,0.19850765533770143,0.2565504079796436,0.9801497389002298,0.8472850678733032,0.9850113122171946
16,0.4923248439844122,0.5714406034454258,0.17397113842864778,0.2039072759054926,0.32654436326607233,0.980083886924128,,,0.4923248439844122,0.5714406034454258,0.17397113842864778,0.2039072759054926,0.32654436326607233,0.980083886924128,0.8463388562266168,0.9845002672367718
17,0.4385995556469978,0.4759529814064597,0.1565157435072397,0.18339049395548027,0.22653124050969778,0.9821199780078764,,,0.4385995556469978,0.4759529814064597,0.1565157435072397,0.18339049395548027,0.22653124050969778,0.9821199780078764,0.8579636865088486,0.98758905998621
18,0.45284504833727646,0.48694205911273497,0.16367476240760295,0.18873633582978816,0.23711256893295027,0.9811240271063092,,,0.45284504833727646,0.48694205911273497,0.16367476240760295,0.18873633582978816,0.23711256893295027,0.9811240271063092,0.8523759239704329,0.9866948257655755
19,0.4746135743214432,0.5316300263762775,0.1714227889091277,0.2009153101212329,0.2826304849448416,0.9801881282896343,,,0.4746135743214432,0.5316300263762775,0.1714227889091277,0.2009153101212329,0.2826304849448416,0.9801881282896343,0.8469945355191257,0.9852256628212912
20,0.443378522117854,0.47626525020330707,0.1562196778575587,0.1796579266135478,0.2268285885512187,0.9815560852444927,,,0.443378522117854,0.47626525020330707,0.1562196778575587,0.1796579266135478,0.2268285885512187,0.9815560852444927,0.859305259072385,0.9873859887444207
