metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.6532412555335391,0.7715406506384072,0.23706896551724138,0.2942352780450036,0.5952749755875367,0.9652592622070119,,,0.6532412555335391,0.7715406506384072,0.23706896551724138,0.2942352780450036,0.5952749755875367,0.9652592622070119,0.8189655172413793,0.9655172413793104
1,0.6088590823425646,0.6874601541794804,0.2379862700228833,0.2805665992350325,0.47260146358447486,0.9716591068662306,,,0.6088590823425646,0.6874601541794804,0.2379862700228833,0.2805665992350325,0.47260146358447486,0.9716591068662306,0.8054919908466819,0.9702517162471396
2,0.6510467359823571,0.6234479757199239,0.24803767660910517,0.2772552855722044,0.38868737842927087,0.9680526797069613,,,0.6510467359823571,0.6234479757199239,0.24803767660910517,0.2772552855722044,0.38868737842927087,0.9680526797069613,0.792778649921507,0.9733124018838305
3,0.5056431843390933,0.5428143283340311,0.21505376344086022,0.25299966046290573,0.29464739504472526,0.974537768167351,,,0.5056431843390933,0.5428143283340311,0.21505376344086022,0.25299966046290573,0.29464739504472526,0.974537768167351,0.8040621266427718,0.982078853046595
4,0.5318784981949405,0.5240383485698462,0.19078947368421054,0.22126367378509668,0.27461619077181165,0.9744254219616495,,,0.5318784981949405,0.5240383485698462,0.19078947368421054,0.22126367378509668,0.27461619077181165,0.9744254219616495,0.8289473684210527,0.9868421052631579
5,0.4756440211736508,0.5318298498438425,0.19010212097407697,0.23193501800604832,0.28284298918492407,0.9766601457078838,,,0.4756440211736508,0.5318298498438425,0.19010212097407697,0.23193501800604832,0.28284298918492407,0.9766601457078838,0.826394344069128,0.9850746268656716
6,0.47473268278891667,0.5345686857613516,0.1794871794871795,0.22493375991944664,0.28576367979661876,0.9784282152150724,,,0.47473268278891667,0.5345686857613516,0.1794871794871795,0.22493375991944664,0.28576367979661876,0.9784282152150724,0.8414304993252362,0.9811066126855601
7,0.4667200734043223,0.5299442738516107,0.18004722550177096,0.22650543978054308,0.2808409333881109,0.9803483582458271,,,0.4667200734043223,0.5299442738516107,0.18004722550177096,0.22650543978054308,0.2808409333881109,0.9803483582458271,0.8376623376623377,0.9834710743801653
8,0.4718344383640064,0.5215118140247212,0.1767466110531804,0.21175393054477662,0.2719745721673555,0.9801992008454856,,,0.4718344383640064,0.5215118140247212,0.1767466110531804,0.21175393054477662,0.2719745721673555,0.9801992008454856,0.8435870698644421,0.9817518248175182
9,0.46011469515022774,0.5122227082088662,0.17146776406035666,0.20848929404550895,0.2623721028048252,0.9807902030567569,,,0.46011469515022774,0.5122227082088662,0.17146776406035666,0.20848929404550895,0.2623721028048252,0.9807902030567569,0.846822130772748,0.9830818472793782
10,0.4563029257155718,0.5165327965906755,0.173372044794691,0.21735858182240647,0.2668061299537842,0.9806957028058023,,,0.4563029257155718,0.5165327965906755,0.173372044794691,0.21735858182240647,0.2668061299537842,0.9806957028058023,0.8423890501866446,0.9854832019908751
