metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.17377292704104913,0.3133119664077047,0.09733189655172413,0.15401254103597986,0.09816438829426267,0.9995224640853198,,,0.1137147065368355,0.24376277372698332,0.01293103448275862,0.059420289855072465,0.059420289855072465,0.9994428747662064,0.9870689655172413,1.0
1,0.20950958181940477,0.2531179967958684,0.12063501144164755,0.14177850032724643,0.06406872030195324,0.9995653579110433,,,0.2029530274475215,0.2474706927409457,0.036613272311212815,0.0515799080168913,0.061241743765683566,0.9968572033567743,0.965675057208238,0.9977116704805492
2,0.19607319189276298,0.24551166463076582,0.11905057561486133,0.14086040084786694,0.06027597746976963,0.9992116963244028,,,0.18156825980064073,0.23477453653555105,0.029827315541601257,0.045457247256690515,0.055119083005482794,0.9970569996111035,0.9717425431711146,0.9984301412872841
3,0.1832307666959848,0.22733067910433305,0.10767827558741534,0.12589762268583987,0.05167923766203725,0.999459413494011,,,0.16212448570464003,0.21049431223019846,0.023894862604540025,0.03706147866967008,0.04430785548126428,0.9978163949561457,0.977299880525687,0.998805256869773
4,0.1722126943032036,0.22167780636735238,0.1017692258921112,0.12547891204079292,0.049141049835841374,0.9994276885416824,,,0.1470256486242569,0.20275263254392406,0.019736842105263157,0.033862253191897305,0.0411086300034915,0.9980922951389414,0.981203007518797,0.9990601503759399
5,0.1647089956506546,0.20343959038426626,0.09969852741305994,0.11800029644253948,0.04138766693571804,0.9995260675985582,,,0.12843856524893538,0.16949625147129213,0.014925373134328358,0.023294196654123852,0.028728979262819504,0.9984794668787076,0.98586017282011,0.9992144540455616
6,0.16668863640208778,0.21192919957764328,0.096659018807703,0.11771577256401634,0.044913985633620555,0.9994331643503083,,,0.13497638119975425,0.17798303465243703,0.016869095816464237,0.02656287111002411,0.031677960624090604,0.9983208464486873,0.9838056680161943,0.9993252361673415
7,0.16248438650644606,0.1980723434928385,0.09920223103015308,0.118390857012779,0.039232653256745,0.9995998517750383,,,0.1308405303870772,0.16849021094873035,0.015938606847697757,0.024608232849063723,0.028388951185547653,0.998509614282259,0.9846517119244392,0.999409681227863
8,0.16253280730828465,0.19699349139246664,0.09983315954118868,0.11778046608071198,0.03880643565099382,0.9996588552981731,,,0.1370020131832629,0.17212264811937872,0.017726798748696558,0.026003017589830365,0.02962620599562746,0.9983006153282308,0.9827945776850886,0.9994786235662148
