metrics,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,no_rounding,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical,mathematical
model,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1,rmse,rmse_macroaveraged,mae,mae_macroaveraged,mse_macroaveraged,somers_d,accuracy,accuracy1
0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,0.03962144258751637,0.024922239313961342,0.0015698587127158557,0.0006211180124223603,0.0006211180124223603,0.9996478910248999,,,0.03962144258751637,0.024922239313961342,0.0015698587127158557,0.0006211180124223603,0.0006211180124223603,0.9996478910248999,0.9984301412872841,1.0
3,0.03456505649101418,0.022355091700494795,0.0011947431302270011,0.0004997501249375312,0.0004997501249375312,0.9997327437498481,,,0.03456505649101418,0.022355091700494795,0.0011947431302270011,0.0004997501249375312,0.0004997501249375312,0.9997327437498481,0.998805256869773,1.0
4,0.043355498476206,0.02983706500978613,0.0018796992481203006,0.0008902504483982039,0.0008902504483982039,0.9995674609770471,,,0.043355498476206,0.02983706500978613,0.0018796992481203006,0.0008902504483982039,0.0008902504483982039,0.9995674609770471,0.9981203007518797,1.0
5,0.0396370017644709,0.02713189758521599,0.0015710919088766694,0.0007361398665746492,0.0007361398665746492,0.9996458671778116,,,0.0396370017644709,0.02713189758521599,0.0015710919088766694,0.0007361398665746492,0.0007361398665746492,0.9996458671778116,0.9984289080911233,1.0
6,0.03673591791853225,0.02579844749034641,0.001349527665317139,0.0006655598929121611,0.0006655598929121611,0.9996942581684026,,,0.03673591791853225,0.02579844749034641,0.001349527665317139,0.0006655598929121611,0.0006655598929121611,0.9996942581684026,0.9986504723346828,1.0
7,0.04208273180784325,0.04555991505175515,0.0017709563164108619,0.0020757058595231455,0.0020757058595231455,0.9997019228564518,,,0.04208273180784325,0.04555991505175515,0.0017709563164108619,0.0020757058595231455,0.0020757058595231455,0.9997019228564518,0.9982290436835891,1.0
8,0.03954907459543875,0.0409028840772295,0.0015641293013555788,0.0016730459258352747,0.0016730459258352747,0.9997481752792258,,,0.03954907459543875,0.0409028840772295,0.0015641293013555788,0.0016730459258352747,0.0016730459258352747,0.9997481752792258,0.9984358706986444,1.0
9,0.037037037037037035,0.03715784809700076,0.0013717421124828531,0.0013807056751997833,0.0013807056751997833,0.9997778983599057,,,0.037037037037037035,0.03715784809700076,0.0013717421124828531,0.0013807056751997833,0.0013807056751997833,0.9997778983599057,0.9986282578875172,1.0
10,0.03527459386315739,0.03519963496954963,0.001244296972210701,0.0012390143019895409,0.0012390143019895409,0.9997888643862802,,,0.03527459386315739,0.03519963496954963,0.001244296972210701,0.0012390143019895409,0.0012390143019895409,0.9997888643862802,0.9987557030277893,1.0
11,0.03386427307392982,0.0343722293194092,0.0011467889908256881,0.0011814501483860533,0.0011814501483860533,0.9998179686602711,,,0.03386427307392982,0.0343722293194092,0.0011467889908256881,0.0011814501483860533,0.0011814501483860533,0.9998179686602711,0.9988532110091743,1.0
12,0.03252426673512047,0.03373550452311507,0.0010578279266572638,0.0011380842654291174,0.0011380842654291174,0.9998359745468304,,,0.03252426673512047,0.03373550452311507,0.0010578279266572638,0.0011380842654291174,0.0011380842654291174,0.9998359745468304,0.9989421720733427,1.0
13,0.03114373299321498,0.032311939512084845,0.0009699321047526673,0.0010440614350326297,0.0010440614350326297,0.9998537536202063,,,0.03114373299321498,0.032311939512084845,0.0009699321047526673,0.0010440614350326297,0.0010440614350326297,0.9998537536202063,0.9990300678952473,1.0
14,0.03467918425807869,0.033701545579403164,0.0012026458208057728,0.0011357941744405888,0.0011357941744405888,0.9998069026553759,,,0.03467918425807869,0.033701545579403164,0.0012026458208057728,0.0011357941744405888,0.0011357941744405888,0.9998069026553759,0.9987973541791942,1.0
15,0.03363363969981562,0.03291569786899341,0.0011312217194570137,0.0010834431662028574,0.0010834431662028574,0.999820661825666,,,0.03363363969981562,0.03291569786899341,0.0011312217194570137,0.0010834431662028574,0.0010834431662028574,0.999820661825666,0.998868778280543,1.0
16,0.036553848756307246,0.03418433006110519,0.0013361838588989846,0.00116856842172658,0.00116856842172658,0.9997898139293787,,,0.036553848756307246,0.03418433006110519,0.0013361838588989846,0.00116856842172658,0.00116856842172658,0.9997898139293787,0.998663816141101,1.0
17,0.04548065525361659,0.04929530554738055,0.002068490002298322,0.002430027149009607,0.002430027149009607,0.9997388715263587,,,0.04548065525361659,0.04929530554738055,0.002068490002298322,0.002430027149009607,0.002430027149009607,0.9997388715263587,0.9979315099977016,1.0
18,0.043597467545103546,0.04772423971346376,0.0019007391763463568,0.002277603056228152,0.002277603056228152,0.9997512896233754,,,0.043597467545103546,0.04772423971346376,0.0019007391763463568,0.002277603056228152,0.002277603056228152,0.9997512896233754,0.9980992608236536,1.0
19,0.04267895997763199,0.04663108745432079,0.0018214936247723133,0.002174458317172514,0.002174458317172514,0.9997619465060784,,,0.04267895997763199,0.04663108745432079,0.0018214936247723133,0.002174458317172514,0.002174458317172514,0.9997619465060784,0.9981785063752276,1.0
20,0.041791810257736726,0.04600424114849179,0.0017465554046186688,0.002116390203648585,0.002116390203648585,0.9997731388576379,,,0.041791810257736726,0.04600424114849179,0.0017465554046186688,0.002116390203648585,0.002116390203648585,0.9997731388576379,0.9982534445953813,1.0
