metrics,"('no_rounding', 'rmse')","('no_rounding', 'rmse')","('no_rounding', 'rmse_macroaveraged')","('no_rounding', 'rmse_macroaveraged')","('no_rounding', 'mae')","('no_rounding', 'mae')","('no_rounding', 'mae_macroaveraged')","('no_rounding', 'mae_macroaveraged')","('no_rounding', 'mse_macroaveraged')","('no_rounding', 'mse_macroaveraged')","('no_rounding', 'somers_d')","('no_rounding', 'somers_d')","('no_rounding', 'accuracy')","('no_rounding', 'accuracy')","('no_rounding', 'accuracy1')","('no_rounding', 'accuracy1')","('mathematical', 'rmse')","('mathematical', 'rmse')","('mathematical', 'rmse_macroaveraged')","('mathematical', 'rmse_macroaveraged')","('mathematical', 'mae')","('mathematical', 'mae')","('mathematical', 'mae_macroaveraged')","('mathematical', 'mae_macroaveraged')","('mathematical', 'mse_macroaveraged')","('mathematical', 'mse_macroaveraged')","('mathematical', 'somers_d')","('mathematical', 'somers_d')","('mathematical', 'accuracy')","('mathematical', 'accuracy')","('mathematical', 'accuracy1')","('mathematical', 'accuracy1')"
model,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std,avg,std
linear_regression_ridge,0.6264890275417508,0.0518902582583541,0.7509049850644787,0.07386776407696038,0.42629558529071343,0.025322546453624025,0.4886133845927058,0.03327351221458446,0.5693147431644147,0.09424156817735214,0.9797038200133538,0.0023487317208724535,,,,,0.624652769784977,0.044017341293460716,0.6953792944601703,0.05198394345182156,0.3088095167873096,0.02841155529644896,0.35252276206743355,0.029761384874967548,0.4862546935407264,0.066567431300383,0.9657634916362681,0.0030393172894581243,0.7169663292103452,0.024156907760775736,0.9811544022456611,0.003988571887848309
kernel_svm,0.3493877854842688,0.01840967672222662,0.3253565515150106,0.023228939863937776,0.2263099810188843,0.012231326336565899,0.2083272711888786,0.015037336578445517,0.10639646926094218,0.015157502587956399,0.9930863006343138,0.00099598295032651,,,,,0.3621105578712308,0.019402153179195504,0.33809126327021705,0.02378016630512754,0.1132196235315291,0.011295432291301744,0.10123352445370762,0.012060219078136866,0.11487119860915077,0.01622303653125013,0.9860384693801224,0.0018305891766450758,0.8948593818642342,0.0104344678982107,0.9929136121114001,0.0013774800766177247
knn,0.021951599365160963,0.007672299756355422,0.016088768233498345,0.005920775451243446,0.0010814737964798134,0.00045050242767026566,0.0005839908781255231,0.0002867990628763092,0.0002939040452152724,0.00014316808105685887,0.9999986133236034,1.2635202009781158e-06,,,,,0.029924818236093248,0.010735514231005818,0.021517136185397998,0.0076960778955902365,0.0010107460122673476,0.0004514707316955565,0.0005222167645959567,0.00023334475155708712,0.0005222167645959567,0.00023334475155708712,0.9998143675199801,9.156941551379204e-05,0.9989892539877326,0.00045147073169556263,1.0,0.0
random_forest,0.16519507052103713,0.015850610118794874,0.20279162708211518,0.03459236835496241,0.09744248643398323,0.00988530843054451,0.11671725578264865,0.015900596511937756,0.042321075963017075,0.016123628439423096,0.999564089062531,8.41650870657974e-05,,,,,0.13847955139024595,0.01920971131663013,0.17581650225137158,0.031860587552431735,0.018224519158140252,0.005171283802281949,0.028109573940193058,0.011172016085854313,0.03192653950309271,0.01252169925404399,0.9982065787901303,0.0004428003687061167,0.9824360208438454,0.0047191960900149505,0.9993394599980141,0.0004864451372351469
lightgbm,0.0220213989803317,0.007705109190366827,0.016143142836551803,0.005932546397305686,0.0014773482204528186,0.0009366721625255513,0.0009141850407091338,0.0006819146530208319,0.0002957961673974986,0.00014332993524534963,0.9999986133236034,1.2635202009781158e-06,,,,,0.029924818236093248,0.010735514231005818,0.02230347966065241,0.008537011710638325,0.0010107460122673476,0.0004514707316955565,0.0005703257739207115,0.00030486037619520157,0.0005703257739207115,0.00030486037619520157,0.9998097720739391,9.506875133892913e-05,0.9989892539877326,0.00045147073169556263,1.0,0.0
linear_ordinal_model_probit,0.6167583692440018,0.05721636074958965,0.6934520828318717,0.05748342653858779,0.2844759889184248,0.03502570052985286,0.331975429780253,0.03180271437352915,0.48418013551047845,0.06995535465255054,0.9662863441078249,0.0042519341085101026,,,,,0.6167583692440018,0.05721636074958965,0.6934520828318717,0.05748342653858779,0.2844759889184248,0.03502570052985286,0.331975429780253,0.03180271437352915,0.48418013551047845,0.06995535465255054,0.9662863441078249,0.0042519341085101026,0.7464272212484448,0.026930216878576444,0.9768516605473335,0.006633188095308482
linear_ordinal_model_logit,0.5990909998465678,0.048183111946794054,0.6806236175661373,0.03599088118126987,0.267879895991626,0.027713371403995816,0.3164661924291444,0.022559966594839418,0.46454385231702,0.04715537942997266,0.96786825247007,0.002788701092270064,,,,,0.5990909998465678,0.048183111946794054,0.6806236175661373,0.03599088118126987,0.267879895991626,0.027713371403995816,0.3164661924291444,0.022559966594839418,0.46454385231702,0.04715537942997266,0.96786825247007,0.002788701092270064,0.7610217566287562,0.02394957365581319,0.978266051944752,0.0031535599938321114
ordered_random_forest,0.4894336310572561,0.06519084705732575,0.5331687441055538,0.0731951074235854,0.18258143889111111,0.02768573031337557,0.21763905897752675,0.032795660612585084,0.28962643344184374,0.08912198933110987,0.9784413178027375,0.004822470368522822,,,,,0.4894336310572561,0.06519084705732575,0.5331687441055538,0.0731951074235854,0.18258143889111111,0.02768573031337557,0.21763905897752675,0.032795660612585084,0.28962643344184374,0.08912198933110987,0.9784413178027375,0.004822470368522822,0.8388248782153492,0.01891318410640223,0.9830624132315464,0.006000861671536167
logisticAT,0.5765036990423407,0.05661749773689575,0.644306759782685,0.05795677444444723,0.27039513853203695,0.03489238920959397,0.31827544600134183,0.03518296587582197,0.41849018840566704,0.06438022978064097,0.9691404024408453,0.003440981953457608,,,,,0.5765036990423407,0.05661749773689575,0.644306759782685,0.05795677444444723,0.27039513853203695,0.03489238920959397,0.31827544600134183,0.03518296587582197,0.41849018840566704,0.06438022978064097,0.9691404024408453,0.003440981953457608,0.751279145935597,0.02939482359609141,0.9839276015368984,0.00428479281916224
